pair_id	good_source	bad_source	cv_stem	tv_foil_stem	cv_thatS_mean	tv_NPVNP_mean	tv_thatS_mean	embedded_type	mega_cv_example	mega_tv_example
42	The teacher attests that the horse jumped.	The teacher surveys that the horse jumped.	attest	survey	6.600	6.533	3.600	iv	Someone attested that something happened.	Someone surveyed something.
43	The manager argues that the talks resumed.	The manager requests that the talks resumed.	argue	request	6.600	6.533	3.800	iv	Someone argued that something happened.	Someone requested something.
44	The neighbor remarks that the teacher paused.	The neighbor commissions that the teacher paused.	remark	commission	6.571	6.467	1.400	iv	Someone remarked that something happened.	Someone commissioned something.
45	The nurse utters that the system crashed.	The nurse calibrates that the system crashed.	utter	calibrate	6.533	6.467	2.000	iv	Someone uttered that something happened.	Someone calibrated something.
46	The doctor recalls that the dog escaped.	The doctor craves that the dog escaped.	recall	crave	6.533	6.467	2.400	iv	Someone recalled that something happened.	Someone craved something.
47	The clerk reasserts that the suspect fled.	The clerk causes that the suspect fled.	reassert	cause	6.533	6.467	2.600	iv	Someone reasserted that something happened.	Someone caused something.
48	The student misses that the plane landed.	The student stimulates that the plane landed.	miss	stimulate	6.533	6.467	2.800	iv	Someone missed that something happened.	Someone stimulated something.
49	The parent insists that the crowd cheered.	The parent laments that the crowd cheered.	insist	lament	6.533	6.467	3.400	iv	Someone insisted that something happened.	Someone lamented something.
50	The coach dislikes that the screen flashed.	The coach seeks that the screen flashed.	dislike	seek	6.533	6.467	3.600	iv	Someone disliked that something happened.	Someone sought something.
51	The officer discovers that the bell rang.	The officer approaches that the bell rang.	discover	approach	6.533	6.467	3.600	iv	Someone discovered that something happened.	Someone approached something.
52	The worker conveys that the vote failed.	The worker tracks that the vote failed.	convey	track	6.533	6.467	3.800	iv	Someone conveyed that something happened.	Someone tracked something.
53	The analyst broadcasts that the singer performed.	The analyst resumes that the singer performed.	broadcast	resume	6.533	6.429	1.600	iv	Someone broadcasted that something happened.	Someone resumed something.
54	The editor appreciates that the rate dropped.	The editor disturbs that the rate dropped.	appreciate	disturb	6.533	6.400	1.200	iv	Someone appreciated that something happened.	Someone disturbed something.
55	The guide alleges that the plant grew.	The guide schedules that the plant grew.	allege	schedule	6.533	6.400	1.600	iv	Someone alleged that something happened.	Someone scheduled something.
56	The assistant theorizes that the fund collapsed.	The assistant regulates that the fund collapsed.	theorize	regulate	6.500	6.400	1.600	iv	Someone theorized that something happened.	Someone regulated something.
57	The principal denies that the guests danced.	The principal tortures that the guests danced.	deny	torture	6.500	6.400	2.200	iv	Someone denied that something happened.	Someone tortured something.
58	The researcher verifies that the visitor remained.	The researcher shapes that the visitor remained.	verify	shape	6.467	6.400	3.200	iv	Someone verified that something happened.	Someone shaped something.
59	The captain trusts that the bird landed.	The captain frames that the bird landed.	trust	frame	6.467	6.400	3.200	iv	Someone trusted that something happened.	Someone framed something.
60	The guard recognizes that the oven beeped.	The guard teaches that the oven beeped.	recognize	teach	6.467	6.400	3.600	iv	Someone recognized that something happened.	Someone taught something.
61	The lawyer reasons that the road opened.	The lawyer advocates that the road opened.	reason	advocate	6.467	6.400	3.600	iv	Someone reasoned that something happened.	Someone advocated something.
62	The banker mutters that the car stalled.	The banker explores that the car stalled.	mutter	explore	6.467	6.400	3.800	iv	Someone muttered that something happened.	Someone explored something.
63	The host grumbles that the talks continued.	The host shoots that the talks continued.	grumble	shoot	6.467	6.333	1.800	iv	Someone grumbled that something happened.	Someone shot something.
64	The caller fears that the child whispered.	The caller incites that the child whispered.	fear	incite	6.467	6.333	2.400	iv	Someone feared that something happened.	Someone incited something.
65	The witness discusses that the students returned.	The witness handles that the students returned.	discuss	handle	6.467	6.333	2.400	iv	Someone discussed that something happened.	Someone handled something.
66	The director discloses that the lamp flickered.	The director applies that the lamp flickered.	disclose	apply	6.467	6.333	2.400	iv	Someone disclosed that something happened.	Someone applied something.
67	The scientist detects that the crowd shouted.	The scientist clears that the crowd shouted.	detect	clear	6.467	6.333	2.600	iv	Someone detected that something happened.	Someone cleared something.
68	The driver describes that the river flooded.	The driver reevaluates that the river flooded.	describe	reevaluate	6.467	6.333	3.200	iv	Someone described that something happened.	Someone reevaluated something.
69	The chief demonstrates that the victim screamed.	The chief keeps that the victim screamed.	demonstrate	keep	6.467	6.333	3.200	iv	Someone demonstrated that something happened.	Someone kept something.
70	The friend confesses that the package arrived.	The friend memorizes that the package arrived.	confess	memorize	6.467	6.333	3.400	iv	Someone confessed that something happened.	Someone memorized something.
71	Maria claims that the concert ended.	Maria intercepts that the concert ended.	claim	intercept	6.467	6.333	3.786	iv	Someone claimed that something happened.	Someone intercepted something.
72	James boasts that the virus spread.	James steers that the virus spread.	boast	steer	6.467	6.286	1.000	iv	Someone boasted that something happened.	Someone was steering something.
73	Maya pictures that the crew waited.	Maya initiates that the crew waited.	picture	initiate	6.429	6.267	2.000	iv	Someone was picturing that something happened.	Someone initiated something.
74	Daniel affirms that the neighbor moved.	Daniel alters that the neighbor moved.	affirm	alter	6.429	6.267	2.200	iv	Someone affirmed that something happened.	Someone altered something.
75	Emma thinks that the prisoner escaped.	Emma covers that the prisoner escaped.	think	cover	6.400	6.267	2.600	iv	Someone thought that something happened.	Someone covered something.
76	Noah suspects that the siren sounded.	Noah enforces that the siren sounded.	suspect	enforce	6.400	6.267	2.800	iv	Someone suspected that something happened.	Someone enforced something.
77	Olivia recollects that the campaign started.	Olivia configures that the campaign started.	recollect	configure	6.400	6.267	2.800	iv	Someone recollected that something happened.	Someone configured something.
78	Sophia realizes that the company survived.	Sophia stereotypes that the company survived.	realize	stereotype	6.400	6.267	3.200	iv	Someone realized that something happened.	Someone stereotyped something.
79	Liam rants that the window closed.	Liam plots that the window closed.	rant	plot	6.400	6.267	3.200	iv	Someone ranted that something happened.	Someone plotted something.
80	Grace notices that the visitor disappeared.	Grace views that the visitor disappeared.	notice	view	6.400	6.267	3.400	iv	Someone noticed that something happened.	Someone viewed something.
81	The reporter marvels that the child ate breakfast.	The reporter highlights that the child ate breakfast.	marvel	highlight	6.400	6.267	3.400	tv	Someone marvelled that something happened.	Someone highlighted something.
82	The teacher hates that the driver parked the car.	The teacher serves that the driver parked the car.	hate	serve	6.400	6.200	1.800	tv	Someone hated that something happened.	Someone served something.
83	The manager forgets that a student read the book.	The manager commends that a student read the book.	forget	commend	6.400	6.200	2.000	tv	Someone forgot that something happened.	Someone commended something.
84	The neighbor figures that the clerk opened the door.	The neighbor hurts that the clerk opened the door.	figure	hurt	6.400	6.200	2.800	tv	Someone figured that something happened.	Someone hurt something.
85	The nurse exclaims that the dog chased the cat.	The nurse belittles that the dog chased the cat.	exclaim	belittle	6.400	6.200	2.800	tv	Someone exclaimed that something happened.	Someone belittled something.
86	The doctor believes that the baby broke the cup.	The doctor inserts that the baby broke the cup.	believe	insert	6.400	6.200	3.400	tv	Someone believed that something happened.	Someone inserted something.
87	The clerk records that the staff cleaned the room.	The clerk tickles that the staff cleaned the room.	record	tickle	6.357	6.133	1.000	tv	Someone recorded that something happened.	Someone tickled something.
88	The student shares that the boy kicked the ball.	The student manipulates that the boy kicked the ball.	share	manipulate	6.333	6.133	2.000	tv	Someone shared that something happened.	Someone manipulated something.
89	The parent screams that the team won the game.	The parent grants that the team won the game.	scream	grant	6.333	6.133	2.200	tv	Someone screamed that something happened.	Someone granted something.
90	The coach reports that the patient took the medicine.	The coach threatens that the patient took the medicine.	report	threaten	6.333	6.133	3.000	tv	Someone reported that something happened.	Someone threatened something.
91	The officer recaps that the bird caught the insect.	The officer compliments that the bird caught the insect.	recap	compliment	6.333	6.133	3.600	tv	Someone recapped that something happened.	Someone complimented something.
92	The worker reaffirms that the crowd blocked the street.	The worker cracks that the crowd blocked the street.	reaffirm	crack	6.333	6.133	3.800	tv	Someone reaffirmed that something happened.	Someone cracked something.
93	The analyst questions that the worker fixed the machine.	The analyst excuses that the worker fixed the machine.	question	excuse	6.333	6.071	3.200	tv	Someone questioned that something happened.	Someone was excusing something.
94	The editor loves that a customer dropped the wallet.	The editor buries that a customer dropped the wallet.	love	bury	6.333	6.067	1.400	tv	Someone loved that something happened.	Someone buried something.
95	The guide hopes that the engine pulled the train.	The guide isolates that the engine pulled the train.	hope	isolate	6.333	6.067	1.800	tv	Someone hoped that something happened.	Someone isolated something.
96	The assistant hints that the senator signed the bill.	The assistant galvanizes that the senator signed the bill.	hint	galvanize	6.333	6.067	2.000	tv	Someone hinted that something happened.	Someone galvanized something.
97	The principal expresses that the child lost the toy.	The principal censures that the child lost the toy.	express	censure	6.333	6.067	2.400	tv	Someone expressed that something happened.	Someone censured something.
98	The researcher comments that the player missed the shot.	The researcher pickets that the player missed the shot.	comment	picket	6.333	6.067	3.000	tv	Someone commented that something happened.	Someone picketed something.
99	The captain cheers that the company changed the policy.	The captain ridicules that the company changed the policy.	cheer	ridicule	6.333	6.067	3.800	tv	Someone cheered that something happened.	Someone ridiculed something.
100	The guard feels that the meeting covered the budget.	The guard imitates that the meeting covered the budget.	feel	imitate	6.286	6.067	3.800	tv	Someone felt that something happened.	Someone imitated something.
101	The lawyer enjoys that the witness saw the suspect.	The lawyer digs that the witness saw the suspect.	enjoy	dig	6.286	6.000	2.600	tv	Someone was enjoying that something happened.	Someone dug something.
102	The banker wagers that the cat scratched the sofa.	The banker taps that the cat scratched the sofa.	wager	tap	6.267	6.000	2.800	tv	Someone wagered that something happened.	Someone tapped something.
103	The host visualizes that the waiter carried the tray.	The host faces that the waiter carried the tray.	visualize	face	6.267	6.000	3.000	tv	Someone visualized that something happened.	Someone faced something.
104	The caller suggests that the alarm woke the residents.	The caller assigns that the alarm woke the residents.	suggest	assign	6.267	6.000	3.000	tv	Someone suggested that something happened.	Someone assigned something.
105	The witness stresses that the market hurt the business.	The witness encourages that the market hurt the business.	stress	encourage	6.267	6.000	3.200	tv	Someone stressed that something happened.	Someone encouraged something.
106	The director resents that the sample contained the chemical.	The director regards that the sample contained the chemical.	resent	regard	6.267	6.000	3.600	tv	Someone resented that something happened.	Someone regarded something.
107	The scientist reiterates that the price affected the sales.	The scientist subdues that the price affected the sales.	reiterate	subdue	6.267	5.933	1.200	tv	Someone reiterated that something happened.	Someone subdued something.
108	The driver promises that the nurse checked the chart.	The driver exploits that the nurse checked the chart.	promise	exploit	6.267	5.933	2.400	tv	Someone promised that something happened.	Someone exploited something.
109	The chief pinpoints that the visitors liked the museum.	The chief agitates that the visitors liked the museum.	pinpoint	agitate	6.267	5.933	2.400	tv	Someone pinpointed that something happened.	Someone agitated something.
110	The friend lectures that the staff finished the project.	The friend condones that the staff finished the project.	lecture	condone	6.267	5.933	2.600	tv	Someone lectured that something happened.	Someone condoned something.
111	Maria identifies that the audience enjoyed the play.	Maria illuminates that the audience enjoyed the play.	identify	illuminate	6.267	5.933	2.800	tv	Someone identified that something happened.	Someone illuminated something.
112	James emphasizes that the bus hit the curb.	James provokes that the bus hit the curb.	emphasize	provoke	6.267	5.867	1.000	tv	Someone emphasized that something happened.	Someone provoked something.
113	Maya concludes that the boy found the key.	Maya terrorizes that the boy found the key.	conclude	terrorize	6.267	5.867	1.600	tv	Someone concluded that something happened.	Someone terrorized something.
114	Daniel clarifies that the economy created jobs.	Daniel scrambles that the economy created jobs.	clarify	scramble	6.267	5.867	2.400	tv	Someone clarified that something happened.	Someone scrambled something.
115	Emma bets that the machine cut the metal.	Emma schemes that the machine cut the metal.	bet	scheme	6.267	5.867	3.400	tv	Someone bet that something happened.	Someone schemed something.
116	Noah signals that the plan solved the problem.	Noah probes that the plan solved the problem.	signal	probe	6.200	5.867	3.400	tv	Someone signalled that something happened.	Someone probed something.
117	Olivia restates that the story reached the readers.	Olivia rebukes that the story reached the readers.	restate	rebuke	6.200	5.867	3.800	tv	Someone restated that something happened.	Someone rebuked something.
118	Sophia responds that the shop sold bread.	Sophia prompts that the shop sold bread.	respond	prompt	6.200	5.867	3.800	tv	Someone responded that something happened.	Someone prompted something.
119	Liam regrets that the tourists visited the castle.	Liam electrifies that the tourists visited the castle.	regret	electrify	6.200	5.800	1.200	tv	Someone regretted that something happened.	Someone electrified something.
120	Grace prays that the class understood the lesson.	Grace impedes that the class understood the lesson.	pray	impede	6.200	5.800	1.600	tv	Someone prayed that something happened.	Someone impeded something.
121	The reporter learns that the child drew a picture.	The reporter minimizes that the child drew a picture.	learn	minimize	6.200	5.800	2.000	tv	Someone learnt that something happened.	Someone minimized something.
122	The teacher interprets that the horse jumped the fence.	The teacher vilifies that the horse jumped the fence.	interpret	vilify	6.200	5.800	2.400	tv	Someone interpreted that something happened.	Someone vilified something.
123	The manager gossips that the talks produced an agreement.	The manager croons that the talks produced an agreement.	gossip	croon	6.200	5.800	3.000	tv	Someone gossipped that something happened.	Someone crooned something.
124	The neighbor explains that the teacher explained the rule.	The neighbor touts that the teacher explained the rule.	explain	tout	6.200	5.786	3.200	tv	Someone explained that something happened.	Someone touted something.
125	The nurse envisions that the system stored the data.	The nurse conspires that the system stored the data.	envision	conspire	6.200	5.786	3.200	tv	Someone envisioned that something happened.	Someone conspired something.
126	The doctor surmises that the dog bit the man.	The doctor includes that the dog bit the man.	surmise	include	6.133	5.786	3.571	tv	Someone surmised that something happened.	Someone included something.
127	The clerk specifies that the suspect stole the phone.	The clerk harasses that the suspect stole the phone.	specify	harass	6.133	5.733	2.000	tv	Someone specified that something happened.	Someone harassed something.
128	The student rejects that the plane carried the passengers.	The student forces that the plane carried the passengers.	reject	force	6.133	5.733	2.400	tv	Someone rejected that something happened.	Someone forced something.
129	The parent proposes that the crowd heard the speech.	The parent sends that the crowd heard the speech.	propose	send	6.133	5.733	2.800	tv	Someone proposed that something happened.	Someone sent something.
130	The coach overlooks that the screen showed the message.	The coach consults that the screen showed the message.	overlook	consult	6.133	5.733	3.800	tv	Someone overlooked that something happened.	Someone consulted something.
131	The officer mumbles that the bell warned the students.	The officer soothes that the bell warned the students.	mumble	soothe	6.133	5.667	1.400	tv	Someone mumbled that something happened.	Someone soothed something.
132	The worker insinuates that the vote changed the result.	The worker hustles that the vote changed the result.	insinuate	hustle	6.133	5.667	1.400	tv	Someone insinuated that something happened.	Someone hustled something.
133	The analyst gauges that the singer recorded the song.	The analyst contracts that the singer recorded the song.	gauge	contract	6.133	5.667	1.800	tv	Someone gauged that something happened.	Someone contracted something.
134	The editor disputes that the rate influenced the market.	The editor sets that the rate influenced the market.	dispute	set	6.133	5.667	2.000	tv	Someone disputed that something happened.	Someone set something.
135	The guide deduces that the plant needed water.	The guide obscures that the plant needed water.	deduce	obscure	6.133	5.667	2.400	tv	Someone deduced that something happened.	Someone obscured something.
136	The assistant concedes that the fund bought shares.	The assistant fuels that the fund bought shares.	concede	fuel	6.133	5.667	2.400	tv	Someone conceded that something happened.	Someone fuelled something.
137	The principal testifies that the guests brought food.	The principal leads that the guests brought food.	testify	lead	6.067	5.667	2.800	tv	Someone testified that something happened.	Someone led something.
138	The researcher supposes that the visitor opened the window.	The researcher unsettles that the visitor opened the window.	suppose	unsettle	6.067	5.600	1.400	tv	Someone supposed that something happened.	Someone unsettled something.
139	The captain reminisces that the bird built a nest.	The captain discourages that the bird built a nest.	reminisce	discourage	6.067	5.600	2.000	tv	Someone reminisced that something happened.	Someone discouraged something.
140	The guard lies that the oven burned the bread.	The guard spooks that the oven burned the bread.	lie	spook	6.067	5.600	2.600	tv	Someone lied that something happened.	Someone spooked something.
141	The lawyer dreads that the road connected the towns.	The lawyer snubs that the road connected the towns.	dread	snub	6.067	5.600	2.600	tv	Someone dreaded that something happened.	Someone snubbed something.
142	The banker determines that the car hit a bicycle.	The banker disparages that the car hit a bicycle.	determine	disparage	6.067	5.600	2.600	tv	Someone determined that something happened.	Someone disparaged something.
143	The host decides that the talks settled the dispute.	The host pontificates that the talks settled the dispute.	decide	pontificate	6.067	5.600	3.200	tv	Someone decided that something happened.	Someone pontificated something.
144	The caller communicates that the child hid the coin.	The caller licenses that the child hid the coin.	communicate	license	6.067	5.600	3.200	tv	Someone communicated that something happened.	Someone licensed something.
145	The witness voices that the students passed the test.	The witness glorifies that the students passed the test.	voice	glorify	6.000	5.600	3.200	tv	Someone voiced that something happened.	Someone glorified something.
146	The director underlines that the baby drank the milk.	The director blames that the baby drank the milk.	underline	blame	6.000	5.600	3.400	tv	Someone underlined that something happened.	Someone blamed something.
147	The scientist speculates that the patient followed the instructions.	The scientist names that the patient followed the instructions.	speculate	name	6.000	5.600	3.800	tv	Someone speculated that something happened.	Someone named something.
148	The driver shows that the lamp lit the hallway.	The driver startles that the lamp lit the hallway.	show	startle	6.000	5.533	2.000	tv	Someone showed that something happened.	Someone startled something.
149	The chief repeats that the crowd watched the parade.	The chief aims that the crowd watched the parade.	repeat	aim	6.000	5.533	2.000	tv	Someone repeated that something happened.	Someone aimed something.
150	The friend rationalizes that the river damaged the bridge.	The friend rues that the river damaged the bridge.	rationalize	rue	6.000	5.533	2.400	tv	Someone rationalized that something happened.	Someone rued something.
151	Maria proclaims that the victim recognized the attacker.	Maria employs that the victim recognized the attacker.	proclaim	employ	6.000	5.500	1.200	tv	Someone proclaimed that something happened.	Someone employed something.
152	James perceives that the package contained a gift.	James insults that the package contained a gift.	perceive	insult	6.000	5.467	1.200	tv	Someone perceived that something happened.	Someone insulted something.
153	Maya notes that the concert pleased the fans.	Maya contacts that the concert pleased the fans.	note	contact	6.000	5.467	2.000	tv	Someone noted that something happened.	Someone contacted something.
154	Daniel logs that the virus infected cells.	Daniel demystifies that the virus infected cells.	log	demystify	6.000	5.467	3.200	tv	Someone logged that something happened.	Someone demystified something.
155	Emma exposes that the crew repaired the ship.	Emma enchants that the crew repaired the ship.	expose	enchant	6.000	5.400	1.000	tv	Someone exposed that something happened.	Someone enchanted something.
156	Noah disbelieves that the neighbor painted the fence.	Noah torments that the neighbor painted the fence.	disbelieve	torment	6.000	5.400	1.600	tv	Someone disbelieved that something happened.	Someone tormented something.
157	Olivia dictates that the prisoner touched the wall.	Olivia punts that the prisoner touched the wall.	dictate	punt	6.000	5.400	2.000	tv	Someone dictated that something happened.	Someone punted something.
158	Sophia advises that the siren scared the crowd.	Sophia legislates that the siren scared the crowd.	advise	legislate	6.000	5.400	2.600	tv	Someone advised that something happened.	Someone legislated something.
159	Liam addresses that the campaign raised money.	Liam pardons that the campaign raised money.	address	pardon	6.000	5.400	2.800	tv	Someone addressed that something happened.	Someone pardoned something.
160	Grace worries that the company sold the factory.	Grace continues that the company sold the factory.	worry	continue	5.933	5.400	2.800	tv	Someone worried that something happened.	Someone continued something.
