phenomenon	clause_wo	np_wo	alignment	n_languages	n_pairs	mean_accuracy_strict	bad_parse	bad_parse_rate
1_4_tran_V_form	svo	ng	erg-abs	8	800	0.983750	0	0.000000
1_4_tran_V_form	svo	ng	nom-acc	8	800	0.992500	0	0.000000
1_4_tran_V_form	vos	gn	erg-abs	8	800	1.000000	0	0.000000
1_4_tran_V_form	vos	gn	nom-acc	8	800	1.000000	0	0.000000
1_4_tran_V_form	vos	ng	erg-abs	8	800	1.000000	0	0.000000
1_4_tran_V_form	vos	ng	nom-acc	8	800	0.997500	0	0.000000
1_5_tran_A_marker	sov	gn	erg-abs	8	800	1.000000	416	0.520000
1_5_tran_A_marker	sov	gn	nom-acc	8	800	0.825000	112	0.140000
1_5_tran_A_marker	sov	ng	erg-abs	8	800	1.000000	10	0.012500
1_5_tran_A_marker	sov	ng	nom-acc	8	800	0.982500	32	0.040000
1_5_tran_A_marker	svo	gn	erg-abs	8	800	1.000000	0	0.000000
1_5_tran_A_marker	svo	gn	nom-acc	8	800	0.967500	32	0.040000
1_5_tran_A_marker	svo	ng	erg-abs	8	800	1.000000	0	0.000000
1_5_tran_A_marker	svo	ng	nom-acc	8	800	0.990000	32	0.040000
1_5_tran_A_marker	vos	gn	erg-abs	8	800	1.000000	10	0.012500
1_5_tran_A_marker	vos	gn	nom-acc	8	800	0.987500	32	0.040000
1_5_tran_A_marker	vos	ng	erg-abs	8	800	1.000000	416	0.520000
1_5_tran_A_marker	vos	ng	nom-acc	8	800	0.833750	112	0.140000
1_6_tran_P_marker	sov	gn	erg-abs	8	800	0.973750	24	0.030000
1_6_tran_P_marker	sov	gn	nom-acc	8	800	1.000000	0	0.000000
1_6_tran_P_marker	sov	ng	erg-abs	8	800	0.858750	88	0.110000
1_6_tran_P_marker	sov	ng	nom-acc	8	800	1.000000	400	0.500000
1_6_tran_P_marker	svo	gn	erg-abs	8	800	0.992500	24	0.030000
1_6_tran_P_marker	svo	gn	nom-acc	8	800	1.000000	0	0.000000
1_6_tran_P_marker	svo	ng	erg-abs	8	800	0.938750	24	0.030000
1_6_tran_P_marker	svo	ng	nom-acc	8	800	1.000000	0	0.000000
1_6_tran_P_marker	vos	gn	erg-abs	8	800	0.988750	88	0.110000
1_6_tran_P_marker	vos	gn	nom-acc	8	800	1.000000	400	0.500000
1_6_tran_P_marker	vos	ng	erg-abs	8	800	1.000000	24	0.030000
1_6_tran_P_marker	vos	ng	nom-acc	8	800	1.000000	0	0.000000
1_7_tran_AV_order	sov	gn	erg-abs	8	800	1.000000	0	0.000000
1_7_tran_AV_order	sov	gn	nom-acc	8	800	1.000000	0	0.000000
1_7_tran_AV_order	sov	ng	erg-abs	8	800	1.000000	0	0.000000
1_7_tran_AV_order	sov	ng	nom-acc	8	800	1.000000	0	0.000000
1_7_tran_AV_order	svo	gn	erg-abs	8	800	1.000000	0	0.000000
1_7_tran_AV_order	svo	gn	nom-acc	8	800	1.000000	0	0.000000
1_7_tran_AV_order	svo	ng	erg-abs	8	800	1.000000	0	0.000000
1_7_tran_AV_order	svo	ng	nom-acc	8	800	1.000000	0	0.000000
1_7_tran_AV_order	vos	gn	erg-abs	8	800	1.000000	0	0.000000
1_7_tran_AV_order	vos	gn	nom-acc	8	800	1.000000	0	0.000000
1_7_tran_AV_order	vos	ng	erg-abs	8	800	1.000000	0	0.000000
1_7_tran_AV_order	vos	ng	nom-acc	8	800	1.000000	0	0.000000
1_8_tran_VP_order	sov	gn	erg-abs	8	800	1.000000	0	0.000000
1_8_tran_VP_order	sov	gn	nom-acc	8	800	1.000000	0	0.000000
1_8_tran_VP_order	sov	ng	erg-abs	8	800	1.000000	0	0.000000
1_8_tran_VP_order	sov	ng	nom-acc	8	800	1.000000	0	0.000000
1_8_tran_VP_order	svo	gn	erg-abs	8	800	1.000000	4	0.005000
1_8_tran_VP_order	svo	gn	nom-acc	8	800	1.000000	0	0.000000
1_8_tran_VP_order	svo	ng	erg-abs	8	800	1.000000	4	0.005000
1_8_tran_VP_order	svo	ng	nom-acc	8	800	1.000000	0	0.000000
1_8_tran_VP_order	vos	gn	erg-abs	8	800	1.000000	0	0.000000
1_8_tran_VP_order	vos	gn	nom-acc	8	800	1.000000	0	0.000000
1_8_tran_VP_order	vos	ng	erg-abs	8	800	1.000000	0	0.000000
1_8_tran_VP_order	vos	ng	nom-acc	8	800	1.000000	0	0.000000
1_9_intran_V_valency	sov	gn	erg-abs	8	800	0.631250	408	0.510000
1_9_intran_V_valency	sov	gn	nom-acc	8	800	0.708750	408	0.510000
1_9_intran_V_valency	sov	ng	erg-abs	8	800	0.635000	408	0.510000
1_9_intran_V_valency	sov	ng	nom-acc	8	800	0.681250	408	0.510000
1_9_intran_V_valency	svo	gn	erg-abs	8	800	0.735000	408	0.510000
1_9_intran_V_valency	svo	gn	nom-acc	8	800	0.718750	408	0.510000
1_9_intran_V_valency	svo	ng	erg-abs	8	800	0.718750	408	0.510000
1_9_intran_V_valency	svo	ng	nom-acc	8	800	0.751250	408	0.510000
1_9_intran_V_valency	vos	gn	erg-abs	8	800	0.667500	408	0.510000
1_9_intran_V_valency	vos	gn	nom-acc	8	800	0.630000	408	0.510000
1_9_intran_V_valency	vos	ng	erg-abs	8	800	0.642500	408	0.510000
1_9_intran_V_valency	vos	ng	nom-acc	8	800	0.666250	408	0.510000
2_1_intran_gen_marker	sov	gn	erg-abs	8	800	0.763750	384	0.480000
2_1_intran_gen_marker	sov	gn	nom-acc	8	800	0.982500	0	0.000000
2_1_intran_gen_marker	sov	ng	erg-abs	8	800	0.913750	0	0.000000
2_1_intran_gen_marker	sov	ng	nom-acc	8	800	0.752500	384	0.480000
2_1_intran_gen_marker	svo	gn	erg-abs	8	800	0.990000	0	0.000000
2_1_intran_gen_marker	svo	gn	nom-acc	8	800	0.995000	0	0.000000
2_1_intran_gen_marker	svo	ng	erg-abs	8	800	0.943750	0	0.000000
2_1_intran_gen_marker	svo	ng	nom-acc	8	800	0.946250	0	0.000000
2_1_intran_gen_marker	vos	gn	erg-abs	8	800	0.988750	0	0.000000
2_1_intran_gen_marker	vos	gn	nom-acc	8	800	0.771250	384	0.480000
2_1_intran_gen_marker	vos	ng	erg-abs	8	800	0.783750	384	0.480000
2_1_intran_gen_marker	vos	ng	nom-acc	8	800	0.873750	0	0.000000
2_2_tran_gen_marker	sov	gn	erg-abs	8	800	0.841250	0	0.000000
2_2_tran_gen_marker	sov	gn	nom-acc	8	800	0.950000	0	0.000000
2_2_tran_gen_marker	sov	ng	erg-abs	8	800	0.813750	4	0.005000
2_2_tran_gen_marker	sov	ng	nom-acc	8	800	0.905000	0	0.000000
2_2_tran_gen_marker	svo	gn	erg-abs	8	800	0.951250	0	0.000000
2_2_tran_gen_marker	svo	gn	nom-acc	8	800	0.995000	0	0.000000
2_2_tran_gen_marker	svo	ng	erg-abs	8	800	0.906250	4	0.005000
2_2_tran_gen_marker	svo	ng	nom-acc	8	800	0.931250	0	0.000000
2_2_tran_gen_marker	vos	gn	erg-abs	8	800	0.975000	4	0.005000
2_2_tran_gen_marker	vos	gn	nom-acc	8	800	0.951250	0	0.000000
2_2_tran_gen_marker	vos	ng	erg-abs	8	800	0.861250	0	0.000000
2_2_tran_gen_marker	vos	ng	nom-acc	8	800	0.868750	0	0.000000
2_3_gen_order	sov	gn	erg-abs	8	800	1.000000	280	0.350000
2_3_gen_order	sov	gn	nom-acc	8	800	1.000000	280	0.350000
2_3_gen_order	sov	ng	erg-abs	8	800	0.888750	288	0.360000
2_3_gen_order	sov	ng	nom-acc	8	800	0.952500	288	0.360000
2_3_gen_order	svo	gn	erg-abs	8	800	1.000000	0	0.000000
2_3_gen_order	svo	gn	nom-acc	8	800	1.000000	0	0.000000
2_3_gen_order	svo	ng	erg-abs	8	800	0.998750	0	0.000000
2_3_gen_order	svo	ng	nom-acc	8	800	1.000000	0	0.000000
2_3_gen_order	vos	gn	erg-abs	8	800	0.958750	288	0.360000
2_3_gen_order	vos	gn	nom-acc	8	800	0.942500	288	0.360000
2_3_gen_order	vos	ng	erg-abs	8	800	0.897500	280	0.350000
2_3_gen_order	vos	ng	nom-acc	8	800	0.747500	280	0.350000
3_1_clausal_V_form	sov	gn	erg-abs	8	800	0.981250	141	0.176250
3_1_clausal_V_form	sov	gn	nom-acc	8	800	0.992500	0	0.000000
3_1_clausal_V_form	sov	ng	erg-abs	8	800	0.978750	141	0.176250
3_1_clausal_V_form	sov	ng	nom-acc	8	800	0.995000	0	0.000000
3_1_clausal_V_form	svo	gn	erg-abs	8	800	0.963750	100	0.125000
3_1_clausal_V_form	svo	gn	nom-acc	8	800	0.966250	0	0.000000
3_1_clausal_V_form	svo	ng	erg-abs	8	800	0.957500	100	0.125000
3_1_clausal_V_form	svo	ng	nom-acc	8	800	0.983750	0	0.000000
3_1_clausal_V_form	vos	gn	erg-abs	8	800	0.990000	141	0.176250
3_1_clausal_V_form	vos	gn	nom-acc	8	800	0.995000	0	0.000000
3_1_clausal_V_form	vos	ng	erg-abs	8	800	0.992500	141	0.176250
3_1_clausal_V_form	vos	ng	nom-acc	8	800	0.995000	0	0.000000
3_2_clausal_S_marker	sov	gn	erg-abs	8	800	0.838750	635	0.793750
3_2_clausal_S_marker	sov	gn	nom-acc	8	800	0.710000	20	0.025000
3_2_clausal_S_marker	sov	ng	erg-abs	8	800	0.623750	680	0.850000
3_2_clausal_S_marker	sov	ng	nom-acc	8	800	0.360000	128	0.160000
3_2_clausal_S_marker	svo	gn	erg-abs	8	800	0.810000	635	0.793750
3_2_clausal_S_marker	svo	gn	nom-acc	8	800	0.891250	8	0.010000
3_2_clausal_S_marker	svo	ng	erg-abs	8	800	0.803750	8	0.010000
3_2_clausal_S_marker	svo	ng	nom-acc	8	800	0.843750	10	0.012500
3_2_clausal_S_marker	vos	gn	erg-abs	8	800	0.940000	680	0.850000
3_2_clausal_S_marker	vos	gn	nom-acc	8	800	0.526250	128	0.160000
3_2_clausal_S_marker	vos	ng	erg-abs	8	800	0.920000	635	0.793750
3_2_clausal_S_marker	vos	ng	nom-acc	8	800	0.656250	20	0.025000
3_3_clausal_A_marker	sov	gn	erg-abs	8	800	0.993750	603	0.753750
3_3_clausal_A_marker	sov	gn	nom-acc	8	800	0.368750	100	0.125000
3_3_clausal_A_marker	sov	ng	erg-abs	8	800	0.997500	603	0.753750
3_3_clausal_A_marker	sov	ng	nom-acc	8	800	0.510000	100	0.125000
3_3_clausal_A_marker	svo	gn	erg-abs	8	800	0.998750	107	0.133750
3_3_clausal_A_marker	svo	gn	nom-acc	8	800	0.941250	0	0.000000
3_3_clausal_A_marker	svo	ng	erg-abs	8	800	1.000000	0	0.000000
3_3_clausal_A_marker	svo	ng	nom-acc	8	800	0.896250	0	0.000000
3_3_clausal_A_marker	vos	gn	erg-abs	8	800	0.997500	603	0.753750
3_3_clausal_A_marker	vos	gn	nom-acc	8	800	0.747500	100	0.125000
3_3_clausal_A_marker	vos	ng	erg-abs	8	800	0.992500	603	0.753750
3_3_clausal_A_marker	vos	ng	nom-acc	8	800	0.626250	100	0.125000
3_4_clausal_P_marker	sov	gn	erg-abs	8	800	0.971250	17	0.021250
3_4_clausal_P_marker	sov	gn	nom-acc	8	800	1.000000	0	0.000000
3_4_clausal_P_marker	sov	ng	erg-abs	8	800	0.878750	114	0.142500
3_4_clausal_P_marker	sov	ng	nom-acc	8	800	1.000000	600	0.750000
3_4_clausal_P_marker	svo	gn	erg-abs	8	800	0.987500	14	0.017500
3_4_clausal_P_marker	svo	gn	nom-acc	8	800	1.000000	0	0.000000
3_4_clausal_P_marker	svo	ng	erg-abs	8	800	0.927500	14	0.017500
3_4_clausal_P_marker	svo	ng	nom-acc	8	800	1.000000	0	0.000000
3_4_clausal_P_marker	vos	gn	erg-abs	8	800	0.990000	114	0.142500
3_4_clausal_P_marker	vos	gn	nom-acc	8	800	1.000000	600	0.750000
3_4_clausal_P_marker	vos	ng	erg-abs	8	800	0.940000	17	0.021250
3_4_clausal_P_marker	vos	ng	nom-acc	8	800	1.000000	0	0.000000
3_5_clausal_comp_V_order	sov	gn	erg-abs	8	800	1.000000	3	0.003750
3_5_clausal_comp_V_order	sov	gn	nom-acc	8	800	1.000000	0	0.000000
3_5_clausal_comp_V_order	sov	ng	erg-abs	8	800	1.000000	3	0.003750
3_5_clausal_comp_V_order	sov	ng	nom-acc	8	800	1.000000	0	0.000000
3_5_clausal_comp_V_order	svo	gn	erg-abs	8	800	1.000000	4	0.005000
3_5_clausal_comp_V_order	svo	gn	nom-acc	8	800	1.000000	2	0.002500
3_5_clausal_comp_V_order	svo	ng	erg-abs	8	800	1.000000	4	0.005000
3_5_clausal_comp_V_order	svo	ng	nom-acc	8	800	1.000000	2	0.002500
3_5_clausal_comp_V_order	vos	gn	erg-abs	8	800	1.000000	3	0.003750
3_5_clausal_comp_V_order	vos	gn	nom-acc	8	800	1.000000	0	0.000000
3_5_clausal_comp_V_order	vos	ng	erg-abs	8	800	1.000000	3	0.003750
3_5_clausal_comp_V_order	vos	ng	nom-acc	8	800	0.998750	0	0.000000
3_6_clausal_CV_valency	sov	gn	erg-abs	8	800	0.766250	624	0.780000
3_6_clausal_CV_valency	sov	gn	nom-acc	8	800	0.762500	600	0.750000
3_6_clausal_CV_valency	sov	ng	erg-abs	8	800	0.765000	624	0.780000
3_6_clausal_CV_valency	sov	ng	nom-acc	8	800	0.758750	600	0.750000
3_6_clausal_CV_valency	svo	gn	erg-abs	8	800	0.757500	617	0.771250
3_6_clausal_CV_valency	svo	gn	nom-acc	8	800	0.771250	600	0.750000
3_6_clausal_CV_valency	svo	ng	erg-abs	8	800	0.733750	617	0.771250
3_6_clausal_CV_valency	svo	ng	nom-acc	8	800	0.766250	600	0.750000
3_6_clausal_CV_valency	vos	gn	erg-abs	8	800	0.722500	624	0.780000
3_6_clausal_CV_valency	vos	gn	nom-acc	8	800	0.718750	600	0.750000
3_6_clausal_CV_valency	vos	ng	erg-abs	8	800	0.720000	624	0.780000
3_6_clausal_CV_valency	vos	ng	nom-acc	8	800	0.728750	600	0.750000
4_1_anc_V_form	sov	gn	erg-abs	8	800	0.926250	143	0.178750
4_1_anc_V_form	sov	gn	nom-acc	8	800	0.976250	80	0.100000
4_1_anc_V_form	sov	ng	erg-abs	8	800	0.921250	120	0.150000
4_1_anc_V_form	sov	ng	nom-acc	8	800	0.972500	80	0.100000
4_1_anc_V_form	svo	gn	erg-abs	8	800	0.861250	104	0.130000
4_1_anc_V_form	svo	gn	nom-acc	8	800	0.962500	80	0.100000
4_1_anc_V_form	svo	ng	erg-abs	8	800	0.886250	98	0.122500
4_1_anc_V_form	svo	ng	nom-acc	8	800	0.985000	80	0.100000
4_1_anc_V_form	vos	gn	erg-abs	8	800	0.938750	120	0.150000
4_1_anc_V_form	vos	gn	nom-acc	8	800	0.985000	80	0.100000
4_1_anc_V_form	vos	ng	erg-abs	8	800	0.943750	143	0.178750
4_1_anc_V_form	vos	ng	nom-acc	8	800	0.991250	80	0.100000
4_2_anc_S_marker	sov	gn	erg-abs	8	800	0.792500	448	0.560000
4_2_anc_S_marker	sov	gn	nom-acc	8	800	0.807500	72	0.090000
4_2_anc_S_marker	sov	ng	erg-abs	8	800	0.806250	206	0.257500
4_2_anc_S_marker	sov	ng	nom-acc	8	800	0.787500	206	0.257500
4_2_anc_S_marker	svo	gn	erg-abs	8	800	0.768750	357	0.446250
4_2_anc_S_marker	svo	gn	nom-acc	8	800	0.793750	72	0.090000
4_2_anc_S_marker	svo	ng	erg-abs	8	800	0.856250	190	0.237500
4_2_anc_S_marker	svo	ng	nom-acc	8	800	0.960000	10	0.012500
4_2_anc_S_marker	vos	gn	erg-abs	8	800	0.853750	206	0.257500
4_2_anc_S_marker	vos	gn	nom-acc	8	800	0.786250	206	0.257500
4_2_anc_S_marker	vos	ng	erg-abs	8	800	0.831250	448	0.560000
4_2_anc_S_marker	vos	ng	nom-acc	8	800	0.767500	72	0.090000
4_3_anc_A_marker	sov	gn	erg-abs	8	800	0.377500	300	0.375000
4_3_anc_A_marker	sov	gn	nom-acc	8	800	0.561250	218	0.272500
4_3_anc_A_marker	sov	ng	erg-abs	8	800	0.722500	200	0.250000
4_3_anc_A_marker	sov	ng	nom-acc	8	800	0.702500	212	0.265000
4_3_anc_A_marker	svo	gn	erg-abs	8	800	0.573750	100	0.125000
4_3_anc_A_marker	svo	gn	nom-acc	8	800	0.781250	10	0.012500
4_3_anc_A_marker	svo	ng	erg-abs	8	800	0.896250	0	0.000000
4_3_anc_A_marker	svo	ng	nom-acc	8	800	0.937500	14	0.017500
4_3_anc_A_marker	vos	gn	erg-abs	8	800	0.772500	200	0.250000
4_3_anc_A_marker	vos	gn	nom-acc	8	800	0.786250	212	0.265000
4_3_anc_A_marker	vos	ng	erg-abs	8	800	0.410000	300	0.375000
4_3_anc_A_marker	vos	ng	nom-acc	8	800	0.678750	218	0.272500
4_4_anc_P_marker	sov	gn	erg-abs	8	800	0.783750	303	0.378750
4_4_anc_P_marker	sov	gn	nom-acc	8	800	0.962500	200	0.250000
4_4_anc_P_marker	sov	ng	erg-abs	8	800	0.807500	412	0.515000
4_4_anc_P_marker	sov	ng	nom-acc	8	800	0.970000	400	0.500000
4_4_anc_P_marker	svo	gn	erg-abs	8	800	0.990000	10	0.012500
4_4_anc_P_marker	svo	gn	nom-acc	8	800	0.987500	0	0.000000
4_4_anc_P_marker	svo	ng	erg-abs	8	800	0.773750	214	0.267500
4_4_anc_P_marker	svo	ng	nom-acc	8	800	0.962500	200	0.250000
4_4_anc_P_marker	vos	gn	erg-abs	8	800	0.858750	412	0.515000
4_4_anc_P_marker	vos	gn	nom-acc	8	800	0.958750	400	0.500000
4_4_anc_P_marker	vos	ng	erg-abs	8	800	0.798750	303	0.378750
4_4_anc_P_marker	vos	ng	nom-acc	8	800	0.957500	200	0.250000
4_5_anc_SV_order	sov	gn	erg-abs	8	800	0.996250	0	0.000000
4_5_anc_SV_order	sov	gn	nom-acc	8	800	1.000000	0	0.000000
4_5_anc_SV_order	sov	ng	erg-abs	8	800	0.747500	600	0.750000
4_5_anc_SV_order	sov	ng	nom-acc	8	800	0.815000	600	0.750000
4_5_anc_SV_order	svo	gn	erg-abs	8	800	0.871250	186	0.232500
4_5_anc_SV_order	svo	gn	nom-acc	8	800	1.000000	0	0.000000
4_5_anc_SV_order	svo	ng	erg-abs	8	800	0.762500	188	0.235000
4_5_anc_SV_order	svo	ng	nom-acc	8	800	0.998750	0	0.000000
4_5_anc_SV_order	vos	gn	erg-abs	8	800	0.803750	600	0.750000
4_5_anc_SV_order	vos	gn	nom-acc	8	800	0.772500	600	0.750000
4_5_anc_SV_order	vos	ng	erg-abs	8	800	0.997500	0	0.000000
4_5_anc_SV_order	vos	ng	nom-acc	8	800	0.985000	0	0.000000
4_6_anc_AV_order	sov	gn	erg-abs	8	800	0.997500	0	0.000000
4_6_anc_AV_order	sov	gn	nom-acc	8	800	0.995000	0	0.000000
4_6_anc_AV_order	sov	ng	erg-abs	8	800	0.856250	400	0.500000
4_6_anc_AV_order	sov	ng	nom-acc	8	800	0.915000	400	0.500000
4_6_anc_AV_order	svo	gn	erg-abs	8	800	0.867500	0	0.000000
4_6_anc_AV_order	svo	gn	nom-acc	8	800	0.903750	0	0.000000
4_6_anc_AV_order	svo	ng	erg-abs	8	800	0.842500	0	0.000000
4_6_anc_AV_order	svo	ng	nom-acc	8	800	0.987500	4	0.005000
4_6_anc_AV_order	vos	gn	erg-abs	8	800	0.820000	400	0.500000
4_6_anc_AV_order	vos	gn	nom-acc	8	800	0.822500	400	0.500000
4_6_anc_AV_order	vos	ng	erg-abs	8	800	1.000000	0	0.000000
4_6_anc_AV_order	vos	ng	nom-acc	8	800	0.997500	0	0.000000
4_7_anc_VP_order	sov	gn	erg-abs	8	800	0.977500	0	0.000000
4_7_anc_VP_order	sov	gn	nom-acc	8	800	0.986250	0	0.000000
4_7_anc_VP_order	sov	ng	erg-abs	8	800	0.883750	210	0.262500
4_7_anc_VP_order	sov	ng	nom-acc	8	800	0.978750	200	0.250000
4_7_anc_VP_order	svo	gn	erg-abs	8	800	0.786250	302	0.377500
4_7_anc_VP_order	svo	gn	nom-acc	8	800	0.965000	200	0.250000
4_7_anc_VP_order	svo	ng	erg-abs	8	800	0.766250	10	0.012500
4_7_anc_VP_order	svo	ng	nom-acc	8	800	0.965000	0	0.000000
4_7_anc_VP_order	vos	gn	erg-abs	8	800	0.916250	210	0.262500
4_7_anc_VP_order	vos	gn	nom-acc	8	800	0.868750	200	0.250000
4_7_anc_VP_order	vos	ng	erg-abs	8	800	0.971250	0	0.000000
4_7_anc_VP_order	vos	ng	nom-acc	8	800	0.946250	0	0.000000
5_1_anc_ext_S_marker	sov	gn	erg-abs	8	800	0.716250	0	0.000000
5_1_anc_ext_S_marker	sov	gn	nom-acc	8	800	0.555000	58	0.072500
5_1_anc_ext_S_marker	sov	ng	erg-abs	8	800	0.383750	98	0.122500
5_1_anc_ext_S_marker	sov	ng	nom-acc	8	800	0.478750	110	0.137500
5_1_anc_ext_S_marker	svo	gn	erg-abs	8	800	0.652500	68	0.085000
5_1_anc_ext_S_marker	svo	gn	nom-acc	8	800	0.732500	0	0.000000
5_1_anc_ext_S_marker	svo	ng	erg-abs	8	800	0.638750	30	0.037500
5_1_anc_ext_S_marker	svo	ng	nom-acc	8	800	0.890000	52	0.065000
5_1_anc_ext_S_marker	vos	gn	erg-abs	8	800	0.612500	98	0.122500
5_1_anc_ext_S_marker	vos	gn	nom-acc	8	800	0.612500	110	0.137500
5_1_anc_ext_S_marker	vos	ng	erg-abs	8	800	0.786250	0	0.000000
5_1_anc_ext_S_marker	vos	ng	nom-acc	8	800	0.470000	58	0.072500
5_2_anc_ext_A_marker	sov	gn	erg-abs	8	800	0.996250	400	0.500000
5_2_anc_ext_A_marker	sov	gn	nom-acc	8	800	0.500000	48	0.060000
5_2_anc_ext_A_marker	sov	ng	erg-abs	8	800	0.998750	24	0.030000
5_2_anc_ext_A_marker	sov	ng	nom-acc	8	800	0.636250	48	0.060000
5_2_anc_ext_A_marker	svo	gn	erg-abs	8	800	0.990000	0	0.000000
5_2_anc_ext_A_marker	svo	gn	nom-acc	8	800	0.761250	0	0.000000
5_2_anc_ext_A_marker	svo	ng	erg-abs	8	800	0.980000	24	0.030000
5_2_anc_ext_A_marker	svo	ng	nom-acc	8	800	0.906250	48	0.060000
5_2_anc_ext_A_marker	vos	gn	erg-abs	8	800	0.967500	24	0.030000
5_2_anc_ext_A_marker	vos	gn	nom-acc	8	800	0.602500	48	0.060000
5_2_anc_ext_A_marker	vos	ng	erg-abs	8	800	1.000000	400	0.500000
5_2_anc_ext_A_marker	vos	ng	nom-acc	8	800	0.503750	48	0.060000
5_3_anc_ext_P_marker	sov	gn	erg-abs	8	800	0.952500	0	0.000000
5_3_anc_ext_P_marker	sov	gn	nom-acc	8	800	0.996250	80	0.100000
5_3_anc_ext_P_marker	sov	ng	erg-abs	8	800	0.608750	62	0.077500
5_3_anc_ext_P_marker	sov	ng	nom-acc	8	800	0.977500	473	0.591250
5_3_anc_ext_P_marker	svo	gn	erg-abs	8	800	0.710000	76	0.095000
5_3_anc_ext_P_marker	svo	gn	nom-acc	8	800	0.915000	101	0.126250
5_3_anc_ext_P_marker	svo	ng	erg-abs	8	800	0.826250	0	0.000000
