pair_index	id	language	phenomenon_id	blimp_pair_id	good_score	bad_score	delta	correct	tie	good_stem	bad_stem	good	bad
33	187	87_vos_ng_ac_d_no	1.9	228	-6.37092352	-5.31026459	-1.06065893	0	0	ripen	looklike	The pepper ripened.	The pepper looked like.
34	33	87_vos_ng_ac_d_no	1.9	39	-6.09456491	-6.00442791	-0.09013700	0	0	lie	examine	The dancer's daughters lie.	The dancer's daughters examined.
35	53	87_vos_ng_ac_d_no	1.9	60	-4.24733973	-4.37566185	0.12832212	1	0	move	listento	A lot of teachers had moved.	A lot of teachers had listened to.
36	195	87_vos_ng_ac_d_no	1.9	121	-4.92091990	-4.73017645	-0.19074345	0	0	mutter	looklike	Andrea was muttering.	Andrea was looking like.
37	177	87_vos_ng_ac_d_no	1.9	216	-5.64737177	-4.84399939	-0.80337238	0	0	crack	looklike	This computer cracked.	This computer looks like.
38	11	87_vos_ng_ac_d_no	1.9	12	-4.77632046	-4.63420773	-0.14211273	0	0	scorch	scare	The muffins were scorching.	The muffins were scaring.
39	61	87_vos_ng_ac_d_no	1.9	70	-5.92388058	-5.58608532	-0.33779526	0	0	reply	arriveat	Andrea's nephews have replied.	Andrea's nephews have arrived at.
40	173	87_vos_ng_ac_d_no	1.9	211	-5.64500141	-5.37339067	-0.27161074	0	0	bake	argueabout	Michael will bake.	Michael will argue about.
41	48	87_vos_ng_ac_d_no	1.9	55	-5.61092520	-5.70926571	0.09834051	1	0	protest	conceal	A child's tutor is protesting.	A child's tutor is concealing.
42	133	87_vos_ng_ac_d_no	1.9	26	-7.01697731	-6.40780115	-0.60917616	0	0	dim	looklike	Most spotlights had dimmed.	Most spotlights had looked like.
43	104	87_vos_ng_ac_d_no	1.9	118	-5.42359400	-5.40802431	-0.01556969	0	0	interact	conceal	Christine's friends will interact.	Christine's friends will conceal.
44	196	87_vos_ng_ac_d_no	1.9	106	-5.17410517	-5.21358538	0.03948021	1	0	reply	complainabout	Julie replies.	Julie complained about.
45	96	87_vos_ng_ac_d_no	1.9	0	-6.10146332	-4.79897690	-1.30248642	0	0	yawn	walkthrough	Todd can't yawn.	Todd can't walk through.
46	147	87_vos_ng_ac_d_no	1.9	83	-4.74155807	-5.21598721	0.47442913	1	0	sigh	complainabout	Tracy is sighing.	Tracy is complaining about.
47	101	87_vos_ng_ac_d_no	1.9	189	-6.19520473	-6.83484793	0.63964319	1	0	exist	resemble	The spinach exists.	The spinach resembled.
48	145	87_vos_ng_ac_d_no	1.9	147	-5.56582117	-5.30966091	-0.25616026	0	0	worry	walkthrough	Many girls worry.	Many girls walked through.
49	62	87_vos_ng_ac_d_no	1.9	71	-8.39435577	-8.07933235	-0.31502342	0	0	char	resemble	That spinach charred.	That spinach resembles.
50	1	87_vos_ng_ac_d_no	1.9	105	-5.49763775	-6.37805462	0.88041687	1	0	yawn	arriveat	Some mother of Caroline is yawning.	Some mother of Caroline is arriving at.
51	193	87_vos_ng_ac_d_no	1.9	35	-5.73032141	-6.07423019	0.34390879	1	0	fall	conceal	The waitresses haven't fallen asleep.	The waitresses haven't concealed.
52	17	87_vos_ng_ac_d_no	1.9	19	-6.42375135	-6.39082479	-0.03292656	0	0	die	arriveat	Guy's French teachers die.	Guy's French teachers arrived at.
53	120	87_vos_ng_ac_d_no	1.9	66	-5.12652016	-5.32418489	0.19766474	1	0	wakeup	scare	This hamster isn't waking up.	This hamster isn't scaring.
54	102	87_vos_ng_ac_d_no	1.9	115	-5.46492195	-6.16067266	0.69575071	1	0	flatten	resemble	The blouses can flatten.	The blouses can resemble.
55	112	87_vos_ng_ac_d_no	1.9	95	-6.92393494	-6.24179554	-0.68213940	0	0	slow	scare	Some wheelbarrows are slowing.	Some wheelbarrows are scaring.
56	194	87_vos_ng_ac_d_no	1.9	233	-5.36145115	-5.25785255	-0.10359859	0	0	roll	scare	A lot of unicycles are rolling.	A lot of unicycles are scaring.
57	179	87_vos_ng_ac_d_no	1.9	219	-5.74219990	-6.07212734	0.32992744	1	0	reply	reference	This university hadn't replied.	This university hadn't referenced.
58	103	87_vos_ng_ac_d_no	1.9	117	-5.98478222	-5.05710697	-0.92767525	0	0	talk	goto	Aaron talked.	Aaron went to.
59	39	87_vos_ng_ac_d_no	1.9	45	-4.83682680	-5.19413805	0.35731125	1	0	die	argueabout	Donna shouldn't die.	Donna shouldn't argue about.
60	125	87_vos_ng_ac_d_no	1.9	145	-7.16995335	-6.63514996	-0.53480339	0	0	yell	fire	All actors yell.	All actors fire.
61	44	87_vos_ng_ac_d_no	1.9	50	-6.72352648	-5.85220671	-0.87131977	0	0	litter	escapefrom	Alice littered.	Alice escaped from.
62	161	87_vos_ng_ac_d_no	1.9	210	-5.15523005	-4.90488720	-0.25034285	0	0	vanish	looklike	That book had vanished.	That book had looked like.
63	113	87_vos_ng_ac_d_no	1.9	120	-5.20774221	-5.83181620	0.62407398	1	0	sitdown	dislike	Those daughters of Pamela wouldn't sit down.	Those daughters of Pamela wouldn't dislike.
64	20	87_vos_ng_ac_d_no	1.9	22	-7.00052261	-6.28378153	-0.71674109	0	0	clash	arriveat	All grandmothers of Bill hadn't clashed.	All grandmothers of Bill hadn't arrived at.
65	15	87_vos_ng_ac_d_no	1.9	16	-5.60312319	-4.52931881	-1.07380438	0	0	collaborate	goto	A lot of cashiers should collaborate.	A lot of cashiers should go to.
66	178	87_vos_ng_ac_d_no	1.9	143	-6.44319105	-7.00996065	0.56676960	1	0	fall	scare	Marcus's plumbers fall asleep.	Marcus's plumbers scare.
67	105	87_vos_ng_ac_d_no	1.9	158	-5.77321672	-5.73400307	-0.03921366	0	0	shut	scare	Some mouth will shut.	Some mouth will scare.
68	66	87_vos_ng_ac_d_no	1.9	75	-7.44042730	-6.81662226	-0.62380505	0	0	blink	listento	Some grandmothers of Vincent have blinked.	Some grandmothers of Vincent have listened to.
69	200	87_vos_ng_ac_d_no	1.9	246	-7.42707920	-7.25274277	-0.17433643	0	0	accelerate	resemble	Every carriage accelerated.	Every carriage resembled.
70	106	87_vos_ng_ac_d_no	1.9	129	-6.15316486	-6.96590281	0.81273794	1	0	sitdown	complainabout	That grandmother of Anne sits down.	That grandmother of Anne complains about.
71	47	87_vos_ng_ac_d_no	1.9	53	-6.84026146	-7.22450876	0.38424730	1	0	rot	resemble	That pepper rotted.	That pepper resembles.
72	149	87_vos_ng_ac_d_no	1.9	172	-5.93519735	-6.05867147	0.12347412	1	0	swallow	argueabout	Carmen's electricians haven't swallowed.	Carmen's electricians haven't argued about.
73	77	87_vos_ng_ac_d_no	1.9	87	-6.22501993	-4.97826433	-1.24675560	0	0	char	looklike	Some tomatoes aren't charring.	Some tomatoes aren't looking like.
74	55	87_vos_ng_ac_d_no	1.9	63	-5.54993010	-5.83994341	0.29001331	1	0	murmur	examine	Some nephews of Jodi hadn't murmured.	Some nephews of Jodi hadn't examined.
75	151	87_vos_ng_ac_d_no	1.9	64	-5.00999165	-4.51923084	-0.49076080	0	0	salute	goto	Robert has saluted.	Robert has gone to.
76	127	87_vos_ng_ac_d_no	1.9	168	-6.71917343	-6.81143332	0.09225988	1	0	worry	boastabout	Dawn's oncologists had worried.	Dawn's oncologists had boasted about.
77	107	87_vos_ng_ac_d_no	1.9	240	-4.79019260	-5.04969263	0.25950003	1	0	mutter	dropby	Holly was muttering.	Holly was dropping by.
78	114	87_vos_ng_ac_d_no	1.9	131	-5.72296143	-5.35759735	-0.36536407	0	0	vaporize	scare	The lakes would vaporize.	The lakes would scare.
79	142	87_vos_ng_ac_d_no	1.9	164	-6.86161137	-6.86116648	-0.00044489	0	0	divorce	conceal	Erin's dermatologists have divorced.	Erin's dermatologists have concealed.
80	34	87_vos_ng_ac_d_no	1.9	40	-4.95761347	-4.97560549	0.01799202	1	0	compete	conceal	The companies haven't competed.	The companies haven't concealed.
81	19	87_vos_ng_ac_d_no	1.9	218	-6.55230284	-6.85918999	0.30688715	1	0	fall	lift	The Borgias' daughters fall asleep.	The Borgias' daughters lifted.
82	140	87_vos_ng_ac_d_no	1.9	162	-5.57363272	-5.60519934	0.03156662	1	0	suffer	returnto	Phillip has suffered.	Phillip has returned to.
83	122	87_vos_ng_ac_d_no	1.9	48	-5.88529348	-5.48510122	-0.40019226	0	0	debate	respect	Most organizations couldn't debate.	Most organizations couldn't respect.
84	190	87_vos_ng_ac_d_no	1.9	232	-6.93113565	-6.43083382	-0.50030184	0	0	assemble	workwith	Legislatures were assembling.	Legislatures were working with.
85	64	87_vos_ng_ac_d_no	1.9	9	-6.42617607	-5.50369215	-0.92248392	0	0	crumple	looklike	All gloves weren't crumpling.	All gloves weren't looking like.
86	135	87_vos_ng_ac_d_no	1.9	157	-5.94187021	-5.70591259	-0.23595762	0	0	spinaround	scare	Timothy's doctors were spinning around.	Timothy's doctors were scaring.
87	156	87_vos_ng_ac_d_no	1.9	182	-5.93840456	-6.02632141	0.08791685	1	0	evaporate	scare	Most icicles were evaporating.	Most icicles were scaring.
88	73	87_vos_ng_ac_d_no	1.9	146	-5.99659157	-6.23118401	0.23459244	1	0	sigh	conceal	Pamela's classmate wasn't sighing.	Pamela's classmate wasn't concealing.
89	28	87_vos_ng_ac_d_no	1.9	31	-6.43045425	-6.46604919	0.03559494	1	0	embrace	respect	Many teachers embrace.	Many teachers respected.
90	185	87_vos_ng_ac_d_no	1.9	226	-5.52303267	-5.24050999	-0.28252268	0	0	rust	resemble	The cart can't rust.	The cart can't resemble.
91	110	87_vos_ng_ac_d_no	1.9	125	-7.12554169	-7.06629038	-0.05925131	0	0	confer	reference	Some banks confer.	Some banks reference.
92	52	87_vos_ng_ac_d_no	1.9	59	-5.36716175	-5.50035477	0.13319302	1	0	lie	complainabout	The Borgias won't lie.	The Borgias won't complain about.
93	167	87_vos_ng_ac_d_no	1.9	32	-6.93565083	-6.57248592	-0.36316490	0	0	depart	cure	Larry departs.	Larry cured.
94	5	87_vos_ng_ac_d_no	1.9	5	-6.47732353	-5.83545065	-0.64187288	0	0	benefit	argueabout	Anna's grandmothers aren't benefiting.	Anna's grandmothers aren't arguing about.
95	30	87_vos_ng_ac_d_no	1.9	235	-5.84078074	-6.64883041	0.80804968	1	0	fall	soundlike	Craig fell asleep.	Craig sounded like.
96	184	87_vos_ng_ac_d_no	1.9	225	-5.90739632	-6.14344120	0.23604488	1	0	explain	respect	Rodney's sons explain everything.	Rodney's sons respected.
97	100	87_vos_ng_ac_d_no	1.9	113	-5.90120220	-6.21878767	0.31758547	1	0	weep	conceal	Deborah had wept.	Deborah had concealed.
98	99	87_vos_ng_ac_d_no	1.9	20	-6.53368998	-6.22143555	-0.31225443	0	0	crumple	scare	This shirt crumples.	This shirt scares.
99	180	87_vos_ng_ac_d_no	1.9	51	-6.64425564	-6.19292593	-0.45132971	0	0	donate	driveto	Robert's ex-wives donate.	Robert's ex-wives drive to.
100	123	87_vos_ng_ac_d_no	1.9	142	-5.99813604	-6.15934277	0.16120672	1	0	fray	resemble	A shoe frayed.	A shoe resembles.
