model_id	id	score_gap	own_rank	own_comp_system	own_strategy	top_language	top_comp_system	top_strategy	max_languages	own_sentence	best_sentences
00_sov_gn_ac_b_se	62802	1.03675461	33	balancing	sent	16_sov_ng_ac_b_se	balancing	sent	16_sov_ng_ac_b_se,17_sov_ng_ac_b_pa,18_sov_ng_ac_b_ep,19_sov_ng_ac_b_no,20_sov_ng_ac_d_se,21_sov_ng_ac_d_pa,22_sov_ng_ac_d_ep,23_sov_ng_ac_d_no,24_sov_ng_er_b_se,25_sov_ng_er_b_pa,26_sov_ng_er_b_ep,27_sov_ng_er_b_no,28_sov_ng_er_d_se,29_sov_ng_er_d_pa,30_sov_ng_er_d_ep,31_sov_ng_er_d_no,48_svo_ng_ac_b_se,49_svo_ng_ac_b_pa,50_svo_ng_ac_b_ep,51_svo_ng_ac_b_no,52_svo_ng_ac_d_se,53_svo_ng_ac_d_pa,54_svo_ng_ac_d_ep,55_svo_ng_ac_d_no,56_svo_ng_er_b_se,57_svo_ng_er_b_pa,58_svo_ng_er_b_ep,59_svo_ng_er_b_no,60_svo_ng_er_d_se,61_svo_ng_er_d_pa,62_svo_ng_er_d_ep,63_svo_ng_er_d_no	Myge thing prints	Thing myge prints
00_sov_gn_ac_b_se	52348	1.0310077599999996	3	balancing	sent	18_sov_ng_ac_b_ep	balancing	erg-poss	18_sov_ng_ac_b_ep,22_sov_ng_ac_d_ep	Indiaca governing needca understands	Governing indiage needca understands
00_sov_gn_ac_b_se	29233	1.0222811699999994	13	balancing	sent	01_sov_gn_ac_b_pa	balancing	poss-acc	01_sov_gn_ac_b_pa,02_sov_gn_ac_b_ep,03_sov_gn_ac_b_no,05_sov_gn_ac_d_pa,06_sov_gn_ac_d_ep,07_sov_gn_ac_d_no	Your sending circumstanceca becomeass	Yourge sending circumstanceca becomeass
00_sov_gn_ac_b_se	25736	1.0051407799999996	13	balancing	sent	17_sov_ng_ac_b_pa	balancing	poss-acc	17_sov_ng_ac_b_pa,18_sov_ng_ac_b_ep,19_sov_ng_ac_b_no,21_sov_ng_ac_d_pa,22_sov_ng_ac_d_ep,23_sov_ng_ac_d_no	Their pressing animalca excites	Pressing theirge animalca excites
00_sov_gn_ac_b_se	11334	0.9614820499999999	9	balancing	sent	16_sov_ng_ac_b_se	balancing	sent	16_sov_ng_ac_b_se,17_sov_ng_ac_b_pa,18_sov_ng_ac_b_ep,19_sov_ng_ac_b_no,20_sov_ng_ac_d_se,21_sov_ng_ac_d_pa,22_sov_ng_ac_d_ep,23_sov_ng_ac_d_no	Andrewge damage rumorca spawns	Damage andrewge rumorca spawns
00_sov_gn_ac_b_se	52643	0.9228315299999998	13	balancing	sent	01_sov_gn_ac_b_pa	balancing	poss-acc	01_sov_gn_ac_b_pa,03_sov_gn_ac_b_no,05_sov_gn_ac_d_pa,07_sov_gn_ac_d_no	Smile his countiningca beamovers	Smile hisge countiningca beamovers
00_sov_gn_ac_b_se	70920	0.9147050400000003	7	balancing	sent	01_sov_gn_ac_b_pa	balancing	poss-acc	01_sov_gn_ac_b_pa,02_sov_gn_ac_b_ep,03_sov_gn_ac_b_no,05_sov_gn_ac_d_pa,06_sov_gn_ac_d_ep,07_sov_gn_ac_d_no	This your signalingca bes	This yourge signalingca bes
00_sov_gn_ac_b_se	40709	0.8968587000000001	13	balancing	sent	17_sov_ng_ac_b_pa	balancing	poss-acc	17_sov_ng_ac_b_pa,18_sov_ng_ac_b_ep,19_sov_ng_ac_b_no,21_sov_ng_ac_d_pa,22_sov_ng_ac_d_ep,23_sov_ng_ac_d_no	Your feeling kenyonca repeats	Feeling yourge kenyonca repeats
00_sov_gn_ac_b_se	69384	0.8847007700000002	33	balancing	sent	64_vos_gn_ac_b_se	balancing	sent	64_vos_gn_ac_b_se,65_vos_gn_ac_b_pa,66_vos_gn_ac_b_ep,67_vos_gn_ac_b_no,68_vos_gn_ac_d_se,69_vos_gn_ac_d_pa,70_vos_gn_ac_d_ep,71_vos_gn_ac_d_no,72_vos_gn_er_b_se,73_vos_gn_er_b_pa,74_vos_gn_er_b_ep,75_vos_gn_er_b_no,76_vos_gn_er_d_se,77_vos_gn_er_d_pa,78_vos_gn_er_d_ep,79_vos_gn_er_d_no,80_vos_ng_ac_b_se,81_vos_ng_ac_b_pa,82_vos_ng_ac_b_ep,83_vos_ng_ac_b_no,84_vos_ng_ac_d_se,85_vos_ng_ac_d_pa,86_vos_ng_ac_d_ep,87_vos_ng_ac_d_no,88_vos_ng_er_b_se,89_vos_ng_er_b_pa,90_vos_ng_er_b_ep,91_vos_ng_er_b_no,92_vos_ng_er_d_se,93_vos_ng_er_d_pa,94_vos_ng_er_d_ep,95_vos_ng_er_d_no	X prestons	Prestons x
00_sov_gn_ac_b_se	15964	0.8548212099999999	17	balancing	sent	16_sov_ng_ac_b_se	balancing	sent	16_sov_ng_ac_b_se,17_sov_ng_ac_b_pa,18_sov_ng_ac_b_ep,19_sov_ng_ac_b_no,20_sov_ng_ac_d_se,21_sov_ng_ac_d_pa,22_sov_ng_ac_d_ep,23_sov_ng_ac_d_no	Yourge buddha visionca haves	Buddha yourge visionca haves
00_sov_gn_ac_b_se	45934	0.8526191700000005	7	balancing	sent	01_sov_gn_ac_b_pa	balancing	poss-acc	01_sov_gn_ac_b_pa,02_sov_gn_ac_b_ep,03_sov_gn_ac_b_no,05_sov_gn_ac_d_pa,06_sov_gn_ac_d_ep,07_sov_gn_ac_d_no	You your sealingca dos	You yourge sealingca dos
00_sov_gn_ac_b_se	72829	0.8144125999999998	17	balancing	sent	04_sov_gn_ac_d_se	deranking	sent	04_sov_gn_ac_d_se,05_sov_gn_ac_d_pa,06_sov_gn_ac_d_ep,07_sov_gn_ac_d_no,20_sov_ng_ac_d_se,21_sov_ng_ac_d_pa,22_sov_ng_ac_d_ep,23_sov_ng_ac_d_no	I team outfits wants	I team outfiting wants
00_sov_gn_ac_b_se	13095	0.7903630800000001	4	balancing	sent	01_sov_gn_ac_b_pa	balancing	poss-acc	01_sov_gn_ac_b_pa,02_sov_gn_ac_b_ep,03_sov_gn_ac_b_no	I i your guideingca dependons uses	I i yourge guideingca dependons uses
00_sov_gn_ac_b_se	26015	0.7726085200000004	13	balancing	sent	17_sov_ng_ac_b_pa	balancing	poss-acc	17_sov_ng_ac_b_pa,18_sov_ng_ac_b_ep,19_sov_ng_ac_b_no,21_sov_ng_ac_d_pa,22_sov_ng_ac_d_ep,23_sov_ng_ac_d_no	Our governing itca orchestrates	Governing ourge itca orchestrates
00_sov_gn_ac_b_se	44507	0.7625150700000001	7	balancing	sent	01_sov_gn_ac_b_pa	balancing	poss-acc	01_sov_gn_ac_b_pa,02_sov_gn_ac_b_ep,03_sov_gn_ac_b_no,05_sov_gn_ac_d_pa,06_sov_gn_ac_d_ep,07_sov_gn_ac_d_no	Ernest poet fearingca examines	Ernest poetge fearingca examines
00_sov_gn_ac_b_se	34673	0.7604951800000013	9	balancing	sent	08_sov_gn_er_b_se	balancing	sent	08_sov_gn_er_b_se,09_sov_gn_er_b_pa,10_sov_gn_er_b_ep,11_sov_gn_er_b_no,24_sov_ng_er_b_se,25_sov_ng_er_b_pa,26_sov_ng_er_b_ep,27_sov_ng_er_b_no	Cryotherapy cryotherapy muscle recovers helps uses	Cryotherapyca cryotherapyca muscle recovers helps uses
00_sov_gn_ac_b_se	28093	0.7594485299999993	3	balancing	sent	01_sov_gn_ac_b_pa	balancing	poss-acc	01_sov_gn_ac_b_pa,05_sov_gn_ac_d_pa	It class classca entertainingca bes	It classge classca entertainingca bes
00_sov_gn_ac_b_se	47992	0.7219672199999989	17	balancing	sent	40_svo_gn_er_b_se	balancing	sent	40_svo_gn_er_b_se,41_svo_gn_er_b_pa,42_svo_gn_er_b_ep,43_svo_gn_er_b_no,56_svo_ng_er_b_se,57_svo_ng_er_b_pa,58_svo_ng_er_b_ep,59_svo_ng_er_b_no	Todd post breakfast passovers comeins sorts	Toddca sorts postca comeins breakfast passovers
00_sov_gn_ac_b_se	56536	0.7158594200000001	5	balancing	sent	18_sov_ng_ac_b_ep	balancing	erg-poss	18_sov_ng_ac_b_ep,22_sov_ng_ac_d_ep	Upca processing timeca hurrybys	Processing upge timeca hurrybys
00_sov_gn_ac_b_se	25904	0.7102508500000004	9	balancing	sent	16_sov_ng_ac_b_se	balancing	sent	16_sov_ng_ac_b_se,17_sov_ng_ac_b_pa,18_sov_ng_ac_b_ep,19_sov_ng_ac_b_no,20_sov_ng_ac_d_se,21_sov_ng_ac_d_pa,22_sov_ng_ac_d_ep,23_sov_ng_ac_d_no	Myge judge lessonca forgets	Judge myge lessonca forgets
00_sov_gn_ac_b_se	74765	0.7007658500000002	13	balancing	sent	17_sov_ng_ac_b_pa	balancing	poss-acc	17_sov_ng_ac_b_pa,18_sov_ng_ac_b_ep,19_sov_ng_ac_b_no,21_sov_ng_ac_d_pa,22_sov_ng_ac_d_ep,23_sov_ng_ac_d_no	My feeling yamatoca losetos	Feeling myge yamatoca losetos
00_sov_gn_ac_b_se	10329	0.6832094199999998	33	balancing	sent	16_sov_ng_ac_b_se	balancing	sent	16_sov_ng_ac_b_se,17_sov_ng_ac_b_pa,18_sov_ng_ac_b_ep,19_sov_ng_ac_b_no,20_sov_ng_ac_d_se,21_sov_ng_ac_d_pa,22_sov_ng_ac_d_ep,23_sov_ng_ac_d_no,24_sov_ng_er_b_se,25_sov_ng_er_b_pa,26_sov_ng_er_b_ep,27_sov_ng_er_b_no,28_sov_ng_er_d_se,29_sov_ng_er_d_pa,30_sov_ng_er_d_ep,31_sov_ng_er_d_no,48_svo_ng_ac_b_se,49_svo_ng_ac_b_pa,50_svo_ng_ac_b_ep,51_svo_ng_ac_b_no,52_svo_ng_ac_d_se,53_svo_ng_ac_d_pa,54_svo_ng_ac_d_ep,55_svo_ng_ac_d_no,56_svo_ng_er_b_se,57_svo_ng_er_b_pa,58_svo_ng_er_b_ep,59_svo_ng_er_b_no,60_svo_ng_er_d_se,61_svo_ng_er_d_pa,62_svo_ng_er_d_ep,63_svo_ng_er_d_no	Yourge hear returns	Hear yourge returns
00_sov_gn_ac_b_se	47484	0.68207694	33	balancing	sent	64_vos_gn_ac_b_se	balancing	sent	64_vos_gn_ac_b_se,65_vos_gn_ac_b_pa,66_vos_gn_ac_b_ep,67_vos_gn_ac_b_no,68_vos_gn_ac_d_se,69_vos_gn_ac_d_pa,70_vos_gn_ac_d_ep,71_vos_gn_ac_d_no,72_vos_gn_er_b_se,73_vos_gn_er_b_pa,74_vos_gn_er_b_ep,75_vos_gn_er_b_no,76_vos_gn_er_d_se,77_vos_gn_er_d_pa,78_vos_gn_er_d_ep,79_vos_gn_er_d_no,80_vos_ng_ac_b_se,81_vos_ng_ac_b_pa,82_vos_ng_ac_b_ep,83_vos_ng_ac_b_no,84_vos_ng_ac_d_se,85_vos_ng_ac_d_pa,86_vos_ng_ac_d_ep,87_vos_ng_ac_d_no,88_vos_ng_er_b_se,89_vos_ng_er_b_pa,90_vos_ng_er_b_ep,91_vos_ng_er_b_no,92_vos_ng_er_d_se,93_vos_ng_er_d_pa,94_vos_ng_er_d_ep,95_vos_ng_er_d_no	Pasa aquis	Aquis pasa
00_sov_gn_ac_b_se	47454	0.6739406600000004	9	balancing	sent	16_sov_ng_ac_b_se	balancing	sent	16_sov_ng_ac_b_se,17_sov_ng_ac_b_pa,18_sov_ng_ac_b_ep,19_sov_ng_ac_b_no,20_sov_ng_ac_d_se,21_sov_ng_ac_d_pa,22_sov_ng_ac_d_ep,23_sov_ng_ac_d_no	Faridge shrine punjabca becomethroughouts	Shrine faridge punjabca becomethroughouts
00_sov_gn_ac_b_se	1756	0.6691393800000007	9	balancing	sent	16_sov_ng_ac_b_se	balancing	sent	16_sov_ng_ac_b_se,17_sov_ng_ac_b_pa,18_sov_ng_ac_b_ep,19_sov_ng_ac_b_no,20_sov_ng_ac_d_se,21_sov_ng_ac_d_pa,22_sov_ng_ac_d_ep,23_sov_ng_ac_d_no	Sarahge pot scouringca shinefroms	Pot sarahge scouringca shinefroms
00_sov_gn_ac_b_se	27453	0.6652188300000006	7	balancing	sent	01_sov_gn_ac_b_pa	balancing	poss-acc	01_sov_gn_ac_b_pa,02_sov_gn_ac_b_ep,03_sov_gn_ac_b_no,05_sov_gn_ac_d_pa,06_sov_gn_ac_d_ep,07_sov_gn_ac_d_no	I san feelingca understands	I sange feelingca understands
00_sov_gn_ac_b_se	25121	0.6431102800000001	7	balancing	sent	01_sov_gn_ac_b_pa	balancing	poss-acc	01_sov_gn_ac_b_pa,02_sov_gn_ac_b_ep,03_sov_gn_ac_b_no,05_sov_gn_ac_d_pa,06_sov_gn_ac_d_ep,07_sov_gn_ac_d_no	Your specifying whatca bes	Yourge specifying whatca bes
00_sov_gn_ac_b_se	53975	0.6256418200000002	13	balancing	sent	08_sov_gn_er_b_se	balancing	sent	08_sov_gn_er_b_se,09_sov_gn_er_b_pa,10_sov_gn_er_b_ep,11_sov_gn_er_b_no	Friends friends friends theirge recordca improves encourages trys	Friendsca friendsca friendsca theirge record improves encourages trys
00_sov_gn_ac_b_se	22703	0.62101221	9	balancing	sent	16_sov_ng_ac_b_se	balancing	sent	16_sov_ng_ac_b_se,17_sov_ng_ac_b_pa,18_sov_ng_ac_b_ep,19_sov_ng_ac_b_no,20_sov_ng_ac_d_se,21_sov_ng_ac_d_pa,22_sov_ng_ac_d_ep,23_sov_ng_ac_d_no	Winchellge donuts companyca bes	Donuts winchellge companyca bes
00_sov_gn_ac_b_se	2790	0.6148385999999997	17	balancing	sent	08_sov_gn_er_b_se	balancing	sent	08_sov_gn_er_b_se,09_sov_gn_er_b_pa,10_sov_gn_er_b_ep,11_sov_gn_er_b_no,12_sov_gn_er_d_se,13_sov_gn_er_d_pa,14_sov_gn_er_d_ep,15_sov_gn_er_d_no,24_sov_ng_er_b_se,25_sov_ng_er_b_pa,26_sov_ng_er_b_ep,27_sov_ng_er_b_no,28_sov_ng_er_d_se,29_sov_ng_er_d_pa,30_sov_ng_er_d_ep,31_sov_ng_er_d_no	Grandad didgeridooca blows	Grandadca didgeridoo blows
00_sov_gn_ac_b_se	50397	0.6124887500000007	33	balancing	sent	64_vos_gn_ac_b_se	balancing	sent	64_vos_gn_ac_b_se,65_vos_gn_ac_b_pa,66_vos_gn_ac_b_ep,67_vos_gn_ac_b_no,68_vos_gn_ac_d_se,69_vos_gn_ac_d_pa,70_vos_gn_ac_d_ep,71_vos_gn_ac_d_no,72_vos_gn_er_b_se,73_vos_gn_er_b_pa,74_vos_gn_er_b_ep,75_vos_gn_er_b_no,76_vos_gn_er_d_se,77_vos_gn_er_d_pa,78_vos_gn_er_d_ep,79_vos_gn_er_d_no,80_vos_ng_ac_b_se,81_vos_ng_ac_b_pa,82_vos_ng_ac_b_ep,83_vos_ng_ac_b_no,84_vos_ng_ac_d_se,85_vos_ng_ac_d_pa,86_vos_ng_ac_d_ep,87_vos_ng_ac_d_no,88_vos_ng_er_b_se,89_vos_ng_er_b_pa,90_vos_ng_er_b_ep,91_vos_ng_er_b_no,92_vos_ng_er_d_se,93_vos_ng_er_d_pa,94_vos_ng_er_d_ep,95_vos_ng_er_d_no	Peter pens	Pens peter
00_sov_gn_ac_b_se	28647	0.6053772000000004	7	balancing	sent	01_sov_gn_ac_b_pa	balancing	poss-acc	01_sov_gn_ac_b_pa,02_sov_gn_ac_b_ep,03_sov_gn_ac_b_no,05_sov_gn_ac_d_pa,06_sov_gn_ac_d_ep,07_sov_gn_ac_d_no	They she earningca gives	They shege earningca gives
00_sov_gn_ac_b_se	32787	0.5965266200000006	9	balancing	sent	16_sov_ng_ac_b_se	balancing	sent	16_sov_ng_ac_b_se,17_sov_ng_ac_b_pa,18_sov_ng_ac_b_ep,19_sov_ng_ac_b_no,20_sov_ng_ac_d_se,21_sov_ng_ac_d_pa,22_sov_ng_ac_d_ep,23_sov_ng_ac_d_no	Itsge fang blanketca enters	Fang itsge blanketca enters
00_sov_gn_ac_b_se	49858	0.5878281600000004	7	balancing	sent	01_sov_gn_ac_b_pa	balancing	poss-acc	01_sov_gn_ac_b_pa,02_sov_gn_ac_b_ep,03_sov_gn_ac_b_no,05_sov_gn_ac_d_pa,06_sov_gn_ac_d_ep,07_sov_gn_ac_d_no	They your reassureingca needs	They yourge reassureingca needs
00_sov_gn_ac_b_se	19019	0.5827817900000003	13	balancing	sent	17_sov_ng_ac_b_pa	balancing	poss-acc	17_sov_ng_ac_b_pa,18_sov_ng_ac_b_ep,19_sov_ng_ac_b_no,21_sov_ng_ac_d_pa,22_sov_ng_ac_d_ep,23_sov_ng_ac_d_no	Her appearing partca includes	Appearing herge partca includes
00_sov_gn_ac_b_se	31073	0.5782370599999997	9	balancing	sent	16_sov_ng_ac_b_se	balancing	sent	16_sov_ng_ac_b_se,17_sov_ng_ac_b_pa,18_sov_ng_ac_b_ep,19_sov_ng_ac_b_no,20_sov_ng_ac_d_se,21_sov_ng_ac_d_pa,22_sov_ng_ac_d_ep,23_sov_ng_ac_d_no	Herge lesson stopca cometos	Lesson herge stopca cometos
00_sov_gn_ac_b_se	55705	0.5653610200000005	9	balancing	sent	16_sov_ng_ac_b_se	balancing	sent	16_sov_ng_ac_b_se,17_sov_ng_ac_b_pa,18_sov_ng_ac_b_ep,19_sov_ng_ac_b_no,20_sov_ng_ac_d_se,21_sov_ng_ac_d_pa,22_sov_ng_ac_d_ep,23_sov_ng_ac_d_no	Theirge offspring landca dwellons	Offspring theirge landca dwellons
00_sov_gn_ac_b_se	61755	0.5632581700000001	33	balancing	sent	76_vos_gn_er_d_se	deranking	sent	76_vos_gn_er_d_se,77_vos_gn_er_d_pa,78_vos_gn_er_d_ep,79_vos_gn_er_d_no,92_vos_ng_er_d_se,93_vos_ng_er_d_pa,94_vos_ng_er_d_ep,95_vos_ng_er_d_no	Anderson we philosophizes says	Says philosophizeing we andersonca
00_sov_gn_ac_b_se	53334	0.5555968199999999	33	balancing	sent	64_vos_gn_ac_b_se	balancing	sent	64_vos_gn_ac_b_se,65_vos_gn_ac_b_pa,66_vos_gn_ac_b_ep,67_vos_gn_ac_b_no,68_vos_gn_ac_d_se,69_vos_gn_ac_d_pa,70_vos_gn_ac_d_ep,71_vos_gn_ac_d_no,72_vos_gn_er_b_se,73_vos_gn_er_b_pa,74_vos_gn_er_b_ep,75_vos_gn_er_b_no,76_vos_gn_er_d_se,77_vos_gn_er_d_pa,78_vos_gn_er_d_ep,79_vos_gn_er_d_no,80_vos_ng_ac_b_se,81_vos_ng_ac_b_pa,82_vos_ng_ac_b_ep,83_vos_ng_ac_b_no,84_vos_ng_ac_d_se,85_vos_ng_ac_d_pa,86_vos_ng_ac_d_ep,87_vos_ng_ac_d_no,88_vos_ng_er_b_se,89_vos_ng_er_b_pa,90_vos_ng_er_b_ep,91_vos_ng_er_b_no,92_vos_ng_er_d_se,93_vos_ng_er_d_pa,94_vos_ng_er_d_ep,95_vos_ng_er_d_no	Gasps says	Says gasps
00_sov_gn_ac_b_se	64722	0.5546646200000005	25	balancing	sent	12_sov_gn_er_d_se	deranking	sent	12_sov_gn_er_d_se,13_sov_gn_er_d_pa,14_sov_gn_er_d_ep,15_sov_gn_er_d_no,28_sov_ng_er_d_se,29_sov_ng_er_d_pa,30_sov_ng_er_d_ep,31_sov_ng_er_d_no	G g moves seems	Gca g moveing seems
