pair_index	id	language	phenomenon_id	blimp_pair_id	good_score	bad_score	delta	correct	tie	good_stem	bad_stem	good	bad
21	160	92_vos_ng_er_d_se	1.10	139	-5.10948753	-5.96192837	0.85244083	1	0	climbup	complain	Rodney's friend might climb up a hill.	Rodney's friend might complain a hill.
22	16	92_vos_ng_er_d_se	1.10	16	-4.67999125	-5.07860470	0.39861345	1	0	investigate	go	Grace is investigating a lot of girls' ex-wife.	Grace is going fishing a lot of girls' ex-wife.
23	43	92_vos_ng_er_d_se	1.10	44	-6.07341909	-6.78155279	0.70813370	1	0	thinkabout	sigh	The mothers of Kimberley think about all universities.	The mothers of Kimberley sighed all universities.
24	127	92_vos_ng_er_d_se	1.10	135	-6.43286610	-7.51539564	1.08252954	1	0	fix	grin	Vanessa does fix that couch.	Vanessa does grin that couch.
25	187	92_vos_ng_er_d_se	1.10	157	-5.38484621	-5.55309486	0.16824865	1	0	fix	smile	George hadn't fixed the unicycle.	George hadn't smiled the unicycle.
26	163	92_vos_ng_er_d_se	1.10	34	-6.83505917	-6.82154703	-0.01351213	0	0	examine	weep	Monet hadn't examined most commentaries.	Monet hadn't wept most commentaries.
27	48	92_vos_ng_er_d_se	1.10	22	-5.86114311	-5.54608440	-0.31505871	0	0	explore	weep	Bill explores the bank.	Bill wept the bank.
28	111	92_vos_ng_er_d_se	1.10	17	-4.89324570	-5.97771978	1.08447409	1	0	talkabout	reply	Donna talked about Anna's friends.	Donna replies Anna's friends.
29	6	92_vos_ng_er_d_se	1.10	6	-6.53748751	-6.57624722	0.03875971	1	0	embarrass	scream	Chad's daughters embarrasses Erin's girlfriend.	Chad's daughters screamed Erin's girlfriend.
30	195	92_vos_ng_er_d_se	1.10	108	-6.91350651	-6.97606754	0.06256104	1	0	help	cooperate	That son of Brad helps some actresses.	That son of Brad cooperates some actresses.
31	38	92_vos_ng_er_d_se	1.10	39	-5.66817093	-6.27184010	0.60366917	1	0	like	go	Rose couldn't like Liam's employees.	Rose couldn't go fishing Liam's employees.
32	123	92_vos_ng_er_d_se	1.10	60	-7.00117683	-6.93735361	-0.06382322	0	0	reveal	fish	That brother of Michael revealed many mushrooms.	That brother of Michael goes fishing many mushrooms.
33	13	92_vos_ng_er_d_se	1.10	13	-7.05464363	-7.18773937	0.13309574	1	0	tour	cry	Andrea's ex-husbands toured this art gallery.	Andrea's ex-husbands cry this art gallery.
34	37	92_vos_ng_er_d_se	1.10	38	-4.36632490	-4.44501877	0.07869387	1	0	clean	wave	Carmen's father isn't cleaning a lot of cups.	Carmen's father isn't waving a lot of cups.
35	154	92_vos_ng_er_d_se	1.10	43	-6.00421238	-6.61183214	0.60761976	1	0	notice	weep	The actress can notice every student.	The actress can weep every student.
36	70	92_vos_ng_er_d_se	1.10	8	-6.23135710	-6.23027945	-0.00107765	0	0	question	wave	The pedestrians question some people.	The pedestrians wave some people.
37	62	92_vos_ng_er_d_se	1.10	63	-7.28240108	-7.51422787	0.23182678	1	0	question	confer	These drivers questioned sons of Janice.	These drivers confer sons of Janice.
38	196	92_vos_ng_er_d_se	1.10	52	-6.56072283	-6.95978928	0.39906645	1	0	hire	clash	Ella's teachers hire Nina.	Ella's teachers clashed Nina.
39	33	92_vos_ng_er_d_se	1.10	173	-7.27220917	-7.45464134	0.18243217	1	0	examine	communicate	Carl's dermatologists examine this essay.	Carl's dermatologists communicated this essay.
40	173	92_vos_ng_er_d_se	1.10	185	-6.32403374	-5.60565710	-0.71837664	0	0	disgust	fall	Erin wouldn't disgust Matt.	Erin wouldn't fall Matt.
41	172	92_vos_ng_er_d_se	1.10	143	-7.39962626	-7.00864458	-0.39098167	0	0	kiss	shrug	Erin kisses Sonia.	Erin shrugs Sonia.
42	61	92_vos_ng_er_d_se	1.10	33	-5.07904291	-5.53887177	0.45982885	1	0	runaround	smile	Marcus wasn't running around that high school.	Marcus wasn't smiling that high school.
43	11	92_vos_ng_er_d_se	1.10	170	-6.55119085	-7.05576420	0.50457335	1	0	climbup	talk	Patrick did climb up every slope.	Patrick did talk every slope.
44	145	92_vos_ng_er_d_se	1.10	19	-5.33203077	-4.72483015	-0.60720062	0	0	astound	fall	The truck hadn't astounded a bank.	The truck hadn't fallen a bank.
45	161	92_vos_ng_er_d_se	1.10	171	-6.71441603	-6.94039154	0.22597551	1	0	fix	blink	Theresa fixes many mirrors.	Theresa blinked many mirrors.
46	53	92_vos_ng_er_d_se	1.10	54	-7.01660347	-7.11802149	0.10141802	1	0	irritate	rot	That mushroom irritates Michael's daughters.	That mushroom rotted Michael's daughters.
47	126	92_vos_ng_er_d_se	1.10	127	-6.85445642	-6.30888271	-0.54557371	0	0	aggravate	comehere	Angela hasn't aggravated the senator's piano teachers.	Angela hasn't come here the senator's piano teachers.
48	107	92_vos_ng_er_d_se	1.10	50	-5.94741964	-6.03249836	0.08507872	1	0	embarrass	concur	Beth will embarrass Eric.	Beth will concur Eric.
49	74	92_vos_ng_er_d_se	1.10	77	-6.73731518	-7.03097534	0.29366016	1	0	discover	doaround	Carrie did discover Daniel.	Carrie did joke around Daniel.
50	114	92_vos_ng_er_d_se	1.10	31	-5.78662825	-5.26067638	-0.52595186	0	0	distract	comehere	Some mother of Diane wasn't distracting a lot of students' ex-girlfriends.	Some mother of Diane wasn't coming here a lot of students' ex-girlfriends.
51	106	92_vos_ng_er_d_se	1.10	100	-6.52378225	-5.96337175	-0.56041050	0	0	discover	speakup	Erin's employees were discovering this rug.	Erin's employees were speaking up this rug.
52	96	92_vos_ng_er_d_se	1.10	62	-6.96870804	-7.09535742	0.12664938	1	0	runaround	mutter	Cousins of Stephanie run around all art galleries.	Cousins of Stephanie mutter all art galleries.
53	104	92_vos_ng_er_d_se	1.10	110	-6.11218929	-6.20351934	0.09133005	1	0	discuss	nod	Allison is discussing every brother of Jane.	Allison is nodding every brother of Jane.
54	146	92_vos_ng_er_d_se	1.10	45	-8.19161320	-7.93853188	-0.25308132	0	0	heal	retaliate	The Clintons heal Kimberley.	The Clintons retaliated Kimberley.
55	44	92_vos_ng_er_d_se	1.10	74	-5.47487450	-5.03711510	-0.43775940	0	0	heal	talk	Some student wasn't healing that guy.	Some student wasn't talking that guy.
56	1	92_vos_ng_er_d_se	1.10	1	-5.88762712	-6.47818041	0.59055328	1	0	watch	scream	Diane watched Alan.	Diane screamed Alan.
57	162	92_vos_ng_er_d_se	1.10	65	-6.44376183	-6.56046581	0.11670399	1	0	disagreewith	comehere	The Borgias disagreed with the teenager's granddaughters.	The Borgias come here the teenager's granddaughters.
58	193	92_vos_ng_er_d_se	1.10	186	-6.47420740	-6.14389801	-0.33030939	0	0	hug	wave	Grace hugs Dawn.	Grace waved Dawn.
59	17	92_vos_ng_er_d_se	1.10	118	-3.96757579	-5.42549849	1.45792270	1	0	talkabout	go	Some children are talking about Amy.	Some children are going fishing Amy.
60	81	92_vos_ng_er_d_se	1.10	84	-6.63713026	-6.89025497	0.25312471	1	0	attack	cooperate	Some senators have attacked Pamela.	Some senators have cooperated Pamela.
61	103	92_vos_ng_er_d_se	1.10	106	-6.19729328	-6.98624277	0.78894949	1	0	carefor	smile	Kimberley will care for Cynthia.	Kimberley will smile Cynthia.
62	39	92_vos_ng_er_d_se	1.10	40	-5.51376438	-6.06213045	0.54836607	1	0	resemble	compromise	Daniel's ex-husband resembles a lot of prints of actresses.	Daniel's ex-husband compromises a lot of prints of actresses.
63	157	92_vos_ng_er_d_se	1.10	124	-6.48804665	-6.86286306	0.37481642	1	0	watch	confer	Tiffany's contractors watch the father of Kristen.	Tiffany's contractors confer the father of Kristen.
64	177	92_vos_ng_er_d_se	1.10	134	-6.97253036	-6.34492350	-0.62760687	0	0	aggravate	mutter	Lisa is aggravating Liam.	Lisa is muttering Liam.
65	136	92_vos_ng_er_d_se	1.10	24	-7.60655403	-8.21707058	0.61051655	1	0	describe	react	Many universities describe Samantha.	Many universities reacted Samantha.
66	79	92_vos_ng_er_d_se	1.10	58	-6.33728409	-6.97202492	0.63474083	1	0	resemble	testify	Irene resembled every painting.	Irene testifies every painting.
67	116	92_vos_ng_er_d_se	1.10	167	-6.55549860	-6.63108921	0.07559061	1	0	watch	suffer	Every grandmother of Christopher hasn't watched Diane.	Every grandmother of Christopher hasn't suffered Diane.
68	20	92_vos_ng_er_d_se	1.10	150	-5.59687328	-5.73377800	0.13690472	1	0	kiss	fall	Tina wasn't kissing Steven.	Tina wasn't falling Steven.
69	15	92_vos_ng_er_d_se	1.10	35	-7.33854723	-8.63511467	1.29656744	1	0	escapefrom	weep	Many actresses escape from Cynthia.	Many actresses weep Cynthia.
70	178	92_vos_ng_er_d_se	1.10	51	-5.32999897	-5.60404301	0.27404404	1	0	skatearound	complain	The guy hadn't skated around schools.	The guy hadn't complained schools.
71	147	92_vos_ng_er_d_se	1.10	154	-6.81875992	-6.96552658	0.14676666	1	0	heal	weep	Donald did heal James.	Donald did weep James.
72	180	92_vos_ng_er_d_se	1.10	192	-5.67364693	-6.49210930	0.81846237	1	0	returnto	mutter	Russell is returning to Alicia's grandmother.	Russell is muttering Alicia's grandmother.
73	66	92_vos_ng_er_d_se	1.10	69	-5.61813450	-6.30026484	0.68213034	1	0	talkto	sigh	Naomi talked to Guy.	Naomi sighed Guy.
74	85	92_vos_ng_er_d_se	1.10	89	-6.13890123	-5.91349983	-0.22540140	0	0	complainabout	comehere	Wendy complains about Lissa.	Wendy comes here Lissa.
75	166	92_vos_ng_er_d_se	1.10	95	-5.61248255	-5.80002499	0.18754244	1	0	investigate	shrug	Margaret is investigating Rodney's hairdressers.	Margaret is shrugging Rodney's hairdressers.
76	47	92_vos_ng_er_d_se	1.10	7	-7.00154734	-6.99021244	-0.01133490	0	0	criticize	shrug	Elaine criticized Jill.	Elaine shrugs Jill.
77	105	92_vos_ng_er_d_se	1.10	112	-8.16959095	-7.92224455	-0.24734640	0	0	disturb	rot	All bananas disturb Gina.	All bananas rot Gina.
78	80	92_vos_ng_er_d_se	1.10	83	-7.05051279	-6.08185625	-0.96865654	0	0	upset	fall	A carriage upsets Amanda.	A carriage fell Amanda.
79	55	92_vos_ng_er_d_se	1.10	56	-7.70085287	-7.91712570	0.21627283	1	0	shock	boast	Every hospital shocked Donald.	Every hospital boasts Donald.
80	197	92_vos_ng_er_d_se	1.10	147	-6.16526031	-6.32488108	0.15962076	1	0	bother	complain	Patricia's brothers are bothering Melanie's piano teacher.	Patricia's brothers are complaining Melanie's piano teacher.
81	86	92_vos_ng_er_d_se	1.10	205	-6.41165495	-7.51699162	1.10533667	1	0	help	retaliate	Some museum did help Dana's sons.	Some museum did retaliate Dana's sons.
82	119	92_vos_ng_er_d_se	1.10	189	-7.65358162	-7.61609364	-0.03748798	0	0	aggravate	fall	All pies aggravate Janice.	All pies fell Janice.
83	110	92_vos_ng_er_d_se	1.10	21	-7.26398134	-7.61622858	0.35224724	1	0	observe	grin	Phillip isn't observing Winston Churchill.	Phillip isn't grinning Winston Churchill.
84	134	92_vos_ng_er_d_se	1.10	142	-5.39618826	-5.51614809	0.11995983	1	0	discuss	shout	These children discuss a dancer.	These children shouted a dancer.
85	143	92_vos_ng_er_d_se	1.10	151	-6.82424545	-6.79681349	-0.02743196	0	0	stun	fall	This teacher's partners stunned Walter.	This teacher's partners fall Walter.
86	34	92_vos_ng_er_d_se	1.10	68	-5.52774191	-5.18483925	-0.34290266	0	0	escapefrom	cry	Jerry wasn't escaping from a waitress.	Jerry wasn't crying a waitress.
87	19	92_vos_ng_er_d_se	1.10	53	-6.90211153	-7.20650816	0.30439663	1	0	astound	boast	Every cashier astounded Barbara's nieces.	Every cashier boasts Barbara's nieces.
88	141	92_vos_ng_er_d_se	1.10	149	-6.27438879	-6.29315710	0.01876831	1	0	escapefrom	shrug	Mary escapes from many boys' doctors.	Mary shrugged many boys' doctors.
89	124	92_vos_ng_er_d_se	1.10	59	-7.49452686	-8.40246773	0.90794086	1	0	praise	testify	Michelle praises Bradley.	Michelle testifies Bradley.
90	176	92_vos_ng_er_d_se	1.10	188	-6.66428947	-6.79560137	0.13131189	1	0	respect	chat	Katherine's ex-boyfriends respected Jason's bosses.	Katherine's ex-boyfriends chat Jason's bosses.
91	64	92_vos_ng_er_d_se	1.10	67	-7.46455908	-7.77972603	0.31516695	1	0	runaround	fall	All grandmothers of Debra run around some art galleries.	All grandmothers of Debra fall some art galleries.
92	84	92_vos_ng_er_d_se	1.10	88	-6.36811304	-6.47102976	0.10291672	1	0	runaround	conspire	Carolyn's grandfathers ran around these grocery stores.	Carolyn's grandfathers conspired these grocery stores.
93	149	92_vos_ng_er_d_se	1.10	199	-5.70133352	-5.62849522	-0.07283831	0	0	fix	go	These men fix that skateboard.	These men went fishing that skateboard.
94	101	92_vos_ng_er_d_se	1.10	57	-5.93445063	-6.76475191	0.83030128	1	0	lift	slumpover	Patricia did lift that hat.	Patricia did slump over that hat.
95	156	92_vos_ng_er_d_se	1.10	156	-7.72088385	-8.17021275	0.44932890	1	0	disagreewith	disagree	Many documentaries about Winston Churchill had disagreed with Kevin's dermatologist.	Many documentaries about Winston Churchill had disagreed Kevin's dermatologist.
96	73	92_vos_ng_er_d_se	1.10	76	-6.51604700	-6.62934542	0.11329842	1	0	pass	cry	Stacy's ex-wife passes these grocery stores.	Stacy's ex-wife cries these grocery stores.
97	28	92_vos_ng_er_d_se	1.10	28	-7.87809420	-7.22981739	-0.64827681	0	0	research	suffer	Christopher researched most public parks.	Christopher suffered most public parks.
98	185	92_vos_ng_er_d_se	1.10	81	-6.06084490	-6.54410505	0.48326015	1	0	hat	communicate	Jacqueline's sons hated the Borgias.	Jacqueline's sons communicated the Borgias.
99	113	92_vos_ng_er_d_se	1.10	120	-6.51375771	-6.36641455	-0.14734316	0	0	bore	scream	Brenda's students were boring Beth.	Brenda's students were screaming Beth.
100	52	92_vos_ng_er_d_se	1.10	153	-7.23790073	-6.79748583	-0.44041491	0	0	astound	disagree	Some story astounds Tanya.	Some story disagreed Tanya.
